中文名	描述	点数	数量
从化石复原宝可梦	从化石或琥珀将宝可梦复原。种类不限。	500	3
在咖啡馆享受悠闲时光	和宝可梦一起在咖啡馆享受悠闲时光。店铺不限。	500	3
在长椅处享受悠闲时光	和宝可梦一起在长椅处享受悠闲时光。地点不限。	500	3
在宝可梦对战中获胜 #01	在和训练家进行的宝可梦对战中获胜。规则不限。	200	5
在宝可梦对战中获胜 #02		200	10
在宝可梦对战中获胜 #03		200	15
在宝可梦对战中获胜 #04		200	20
在宝可梦对战中获胜 #05		200	25
在宝可梦对战中获胜 #06		200	30
在宝可梦对战中获胜 #07		200	40
在宝可梦对战中获胜 #08		200	50
在宝可梦对战中获胜 #09		200	60
在宝可梦对战中获胜 #10		200	70
在宝可梦对战中获胜 #11		200	80
在宝可梦对战中获胜 #12		200	90
在宝可梦对战中获胜 #13		200	100
在宝可梦对战中获胜 #14		500	500
在宝可梦对战中获胜 #15		2000	1000
破坏超级结晶 #01	向宝可梦下达使用招式的指示来破坏超级结晶。	100	20
破坏超级结晶 #02		100	50
破坏超级结晶 #03		100	100
破坏超级结晶 #04		100	150
破坏超级结晶 #05		100	200
破坏超级结晶 #06		100	250
破坏超级结晶 #07		100	300
破坏超级结晶 #08		100	400
破坏超级结晶 #09		100	500
破坏超级结晶 #10		100	1000
调查异常头目	打倒出现在３号、５号、９号野生特区的异常头目。或是捕捉也无妨。	1000	3
