属性	星级	编号	总编号	重点	宝可梦
一般	4	10	40	953-0|676-0|695-0	953-0+38+40+1+47+49+100|676-0+37+39+1+46+48+100|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80
一般	5	1	41	137-0|233-0|474-0	137-0+50+52+1+59+61+80|233-0+52+54+1+61+63+20|137-0+50+52+1+59+61+80|474-0+54+56+1+63+65+20|137-0+50+52+1+59+61+80
一般	5	2	42	134-0|135-0|196-0	133-0+51+53+1+60+62+20|134-0+52+54+1+61+63+80|133-0+51+53+1+60+62+20|135-0+52+54+1+61+63+80|196-0+52+54+1+61+63+50|197-0+52+54+1+61+63+50
一般	5	3	43	136-0|700-0|470-0	133-0+51+53+1+60+62+20|136-0+52+54+1+61+63+80|133-0+51+53+1+60+62+20|700-0+52+54+1+61+63+80|470-0+52+54+1+61+63+50|471-0+52+54+1+61+63+50
格斗	1	1	44	852-0|674-0|307-0	852-0+21+23+1+30+32+100|674-0+17+19+1+26+28+100|307-0+19+21+1+28+30+100
格斗	1	2	45	852-0|066-0|307-0	852-0+21+23+1+30+32+100|066-0+16+18+1+25+27+100|307-0+19+21+1+28+30+100
格斗	1	3	46	852-0|066-0|674-0	852-0+21+23+1+30+32+100|066-0+16+18+1+25+27+100|674-0+17+19+1+26+28+100
格斗	1	4	47	056-0|674-0|307-0	056-0+16+18+1+25+27+100|674-0+17+19+1+26+28+100|307-0+19+21+1+28+30+100
格斗	1	5	48	056-0|307-0|066-0	056-0+16+18+1+25+27+100|307-0+19+21+1+28+30+100|066-0+16+18+1+25+27+100
格斗	1	6	49	056-0|674-0|066-0	056-0+16+18+1+25+27+100|674-0+17+19+1+26+28+100|066-0+16+18+1+25+27+100
格斗	1	7	50	739-0|066-0|674-0	739-0+16+18+1+25+27+100|066-0+16+18+1+25+27+100|674-0+17+19+1+26+28+100
格斗	1	8	51	739-0|674-0|307-0	739-0+16+18+1+25+27+100|674-0+17+19+1+26+28+100|307-0+19+21+1+28+30+100
格斗	1	9	52	739-0|066-0|307-0	739-0+16+18+1+25+27+100|066-0+16+18+1+25+27+100|307-0+19+21+1+28+30+100
格斗	3	1	53	870-0|308-0|701-0	870-0+31+33+1+40+42+100|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80|701-0+31+33+1+40+42+100
格斗	3	2	54	057-0|067-0|701-0	057-0+28+30+1+37+39+20|056-0+22+24+1+31+33+80|067-0+28+30+1+37+39+20|066-0+22+24+1+31+33+80|701-0+31+33+1+40+42+100
格斗	3	3	55	057-0|067-0|870-0	057-0+28+30+1+37+39+20|056-0+22+24+1+31+33+80|067-0+28+30+1+37+39+20|066-0+22+24+1+31+33+80|870-0+31+33+1+40+42+100
格斗	3	4	56	057-0|308-0|701-0	057-0+28+30+1+37+39+20|056-0+22+24+1+31+33+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80|701-0+31+33+1+40+42+100
格斗	3	5	57	538-0|539-0|701-0	538-0+26+28+1+35+37+100|539-0+26+28+1+35+37+100|701-0+31+33+1+40+42+100
格斗	3	6	58	538-0|870-0|308-0	538-0+26+28+1+35+37+100|870-0+31+33+1+40+42+100|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
格斗	3	7	59	538-0|870-0|499-0	538-0+26+28+1+35+37+100|870-0+31+33+1+40+42+100|499-0+23+25+1+32+34+20|498-0+20+22+1+29+31+80
格斗	3	8	60	539-0|870-0|308-0	539-0+26+28+1+35+37+100|870-0+31+33+1+40+42+100|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
格斗	3	9	61	539-0|308-0|499-0	539-0+26+28+1+35+37+100|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80|499-0+23+25+1+32+34+20|498-0+20+22+1+29+31+80
格斗	3	10	62	083-1|067-0|308-0	083-1+22+24+1+31+33+100|067-0+28+30+1+37+39+20|066-0+22+24+1+31+33+80|308-0+37+39+1+46+48+20|307-0+24+26+1+33+35+80
格斗	4	1	63	068-0|675-0|560-0	068-0+42+44+1+51+53+20|067-0+39+41+1+48+50+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80
格斗	4	2	64	068-0|214-0|448-0	068-0+42+44+1+51+53+20|067-0+39+41+1+48+50+80|214-0+39+41+1+48+50+100|448-0+40+42+1+49+51+20|447-0+34+36+1+43+45+80
格斗	4	3	65	675-0|214-0|448-0	675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|214-0+39+41+1+48+50+100|448-0+40+42+1+49+51+20|447-0+34+36+1+43+45+80
格斗	4	4	66	068-0|560-0|500-0	068-0+42+44+1+51+53+20|067-0+39+41+1+48+50+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|500-0+41+43+1+50+52+20|499-0+36+38+1+45+47+80
格斗	4	5	67	675-0|560-0|652-0	675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|652-0+41+43+1+50+52+20|651-0+36+38+1+45+47+80
格斗	4	6	68	257-0|675-0|448-0	257-0+41+43+1+50+52+20|256-0+36+38+1+45+47+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80|448-0+40+42+1+49+51+20|447-0+34+36+1+43+45+80
格斗	4	7	69	740-0|068-0|214-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|068-0+42+44+1+51+53+20|067-0+39+41+1+48+50+80|214-0+39+41+1+48+50+100
格斗	4	8	70	740-0|214-0|475-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|214-0+39+41+1+48+50+100|475-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
格斗	4	9	71	740-0|560-0|475-0	740-0+38+40+1+47+49+20|739-0+35+37+1+44+46+80|560-0+42+44+1+51+53+20|559-0+37+39+1+46+48+80|475-0+39+41+1+48+50+20|281-0+37+39+1+46+48+80
格斗	4	10	72	853-0|068-0|675-0	853-0+41+43+1+50+52+20|852-0+37+39+1+46+48+80|068-0+42+44+1+51+53+20|067-0+39+41+1+48+50+80|675-0+40+42+1+49+51+20|674-0+36+38+1+45+47+80
飞行	1	1	73	333-0|016-0|661-0	333-0+18+20+1+27+29+100|016-0+14+16+1+23+25+100|661-0+14+16+1+23+25+100
飞行	1	2	74	333-0|016-0|666-4	333-0+18+20+1+27+29+100|016-0+14+16+1+23+25+100|666-4+15+17+1+24+26+34|664-4+10+12+1+19+21+66
飞行	1	3	75	396-0|333-0|016-0	396-0+13+15+1+22+24+100|333-0+18+20+1+27+29+100|016-0+14+16+1+23+25+100
飞行	1	4	76	396-0|333-0|661-0	396-0+13+15+1+22+24+100|333-0+18+20+1+27+29+100|661-0+14+16+1+23+25+100
飞行	1	5	77	396-0|661-0|666-4	396-0+13+15+1+22+24+100|661-0+14+16+1+23+25+100|666-4+15+17+1+24+26+34|665-4+15+17+1+24+26+66
飞行	1	6	78	396-0|333-0|666-4	396-0+13+15+1+22+24+100|333-0+18+20+1+27+29+100|666-4+15+17+1+24+26+34|664-4+10+12+1+19+21+66
飞行	1	7	79	821-0|333-0|661-0	821-0+14+16+1+23+25+100|333-0+18+20+1+27+29+100|661-0+14+16+1+23+25+100
飞行	1	8	80	821-0|333-0|016-0	821-0+14+16+1+23+25+100|333-0+18+20+1+27+29+100|016-0+14+16+1+23+25+100
飞行	1	9	81	821-0|016-0|661-0	821-0+14+16+1+23+25+100|016-0+14+16+1+23+25+100|661-0+14+16+1+23+25+100
飞行	1	10	82	821-0|333-0|666-4	821-0+14+16+1+23+25+100|333-0+18+20+1+27+29+100|666-4+15+17+1+24+26+34|665-4+15+17+1+24+26+66
飞行	3	1	83	334-0|701-0|714-0	334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80|701-0+31+33+1+40+42+100|714-0+26+28+1+35+37+100
飞行	3	2	84	334-0|701-0|017-0	334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80|701-0+31+33+1+40+42+100|017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80
飞行	3	3	85	334-0|714-0|662-0	334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80|714-0+26+28+1+35+37+100|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80
飞行	3	4	86	017-0|701-0|587-0	017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|701-0+31+33+1+40+42+100|587-0+24+26+1+33+35+100
飞行	3	5	87	397-0|701-0|662-0	397-0+22+24+1+31+33+20|396-0+20+22+1+29+31+80|701-0+31+33+1+40+42+100|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80
飞行	3	6	88	042-0|714-0|662-0	042-0+25+27+1+34+36+20|041-0+21+23+1+30+32+80|714-0+26+28+1+35+37+100|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80
飞行	3	7	89	042-0|714-0|587-0	042-0+25+27+1+34+36+20|041-0+21+23+1+30+32+80|714-0+26+28+1+35+37+100|587-0+24+26+1+33+35+100
飞行	3	8	90	822-0|334-0|714-0	822-0+24+26+1+33+35+20|821-0+20+22+1+29+31+80|334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80|714-0+26+28+1+35+37+100
飞行	3	9	91	822-0|714-0|701-0	822-0+24+26+1+33+35+20|821-0+20+22+1+29+31+80|714-0+26+28+1+35+37+100|701-0+31+33+1+40+42+100
飞行	3	10	92	822-0|334-0|701-0	822-0+24+26+1+33+35+20|821-0+20+22+1+29+31+80|334-0+35+37+1+44+46+20|333-0+24+26+1+33+35+80|701-0+31+33+1+40+42+100
飞行	4	1	93	715-0|018-0|663-0	715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80
飞行	4	2	94	715-0|663-0|227-0	715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|227-0+37+39+1+46+48+100
飞行	4	3	95	663-0|227-0|006-0	663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|227-0+37+39+1+46+48+100|006-0+41+43+1+50+52+20|005-0+36+38+1+45+47+80
飞行	4	4	96	663-0|018-0|227-0	663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|227-0+37+39+1+46+48+100
飞行	4	5	97	018-0|715-0|227-0	018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80|227-0+37+39+1+46+48+100
飞行	4	6	98	961-0|018-0|715-0	961-0+37+39+1+46+48+100|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80
飞行	4	7	99	961-0|663-0|715-0	961-0+37+39+1+46+48+100|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80
飞行	4	8	100	961-0|663-0|227-0	961-0+37+39+1+46+48+100|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|227-0+37+39+1+46+48+100
飞行	4	9	101	823-0|715-0|227-0	823-0+41+43+1+50+52+20|822-0+36+38+1+45+47+80|715-0+48+50+1+57+59+20|714-0+38+40+1+47+49+80|227-0+37+39+1+46+48+100
飞行	4	10	102	823-0|018-0|227-0	823-0+41+43+1+50+52+20|822-0+36+38+1+45+47+80|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|227-0+37+39+1+46+48+100
毒	1	1	103	968-0|023-0|543-0	968-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|543-0+15+17+1+24+26+100
毒	1	2	104	968-0|023-0|001-0	968-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|001-0+13+15+1+22+24+100
毒	1	3	105	968-0|023-0|568-0	968-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|568-0+19+21+1+28+30+100
毒	1	4	106	041-0|023-0|069-0	041-0+15+17+1+24+26+100|023-0+15+17+1+24+26+100|069-0+14+16+1+23+25+100
毒	1	5	107	041-0|069-0|543-0	041-0+15+17+1+24+26+100|069-0+14+16+1+23+25+100|543-0+15+17+1+24+26+100
毒	1	6	108	041-0|406-0|543-0	041-0+15+17+1+24+26+100|406-0+13+15+1+22+24+100|543-0+15+17+1+24+26+100
毒	1	7	109	316-0|023-0|543-0	316-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|543-0+15+17+1+24+26+100
毒	1	8	110	316-0|023-0|406-0	316-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|406-0+13+15+1+22+24+100
毒	1	9	111	316-0|069-0|543-0	316-0+16+18+1+25+27+100|069-0+14+16+1+23+25+100|543-0+15+17+1+24+26+100
毒	1	10	112	316-0|023-0|568-0	316-0+16+18+1+25+27+100|023-0+15+17+1+24+26+100|568-0+19+21+1+28+30+100
毒	3	1	113	024-0|070-0|315-0	024-0+25+27+1+34+36+20|023-0+21+23+1+30+32+80|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
毒	3	2	114	024-0|315-0|002-0	024-0+25+27+1+34+36+20|023-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|002-0+23+25+1+32+34+20|001-0+20+22+1+29+31+80
毒	3	3	115	024-0|070-0|168-0	024-0+25+27+1+34+36+20|023-0+21+23+1+30+32+80|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|168-0+25+27+1+34+36+20|167-0+21+23+1+30+32+80
毒	3	4	116	336-0|690-0|070-0	336-0+26+28+1+35+37+50|024-0+25+27+1+34+36+50|690-0+26+28+1+35+37+100|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80
毒	3	5	117	336-0|690-0|315-0	336-0+26+28+1+35+37+50|024-0+25+27+1+34+36+50|690-0+26+28+1+35+37+100|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
毒	3	6	118	336-0|070-0|315-0	336-0+26+28+1+35+37+50|024-0+25+27+1+34+36+50|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
毒	3	7	119	966-0|168-0|315-0	966-0+24+26+1+33+35+100|168-0+25+27+1+34+36+20|167-0+21+23+1+30+32+80|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80
毒	3	8	120	966-0|024-0|690-0	966-0+24+26+1+33+35+100|024-0+25+27+1+34+36+20|023-0+21+23+1+30+32+80|690-0+26+28+1+35+37+100
毒	3	9	121	966-0|024-0|070-0	966-0+24+26+1+33+35+100|024-0+25+27+1+34+36+20|023-0+21+23+1+30+32+80|070-0+25+27+1+34+36+20|069-0+21+23+1+30+32+80
毒	3	10	122	211-1|315-0|690-0	211-1+23+25+1+32+34+100|315-0+22+24+1+31+33+20|406-0+20+22+1+29+31+80|690-0+26+28+1+35+37+100
毒	4	1	123	569-0|691-0|545-0	569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80
毒	4	2	124	569-0|691-0|003-0	569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|003-0+41+43+1+50+52+20|002-0+36+38+1+45+47+80
毒	4	3	125	569-0|691-0|407-0	569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80
毒	4	4	126	169-0|569-0|691-0	169-0+39+41+1+48+50+20|042-0+37+39+1+46+48+80|569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80
毒	4	5	127	169-0|691-0|545-0	169-0+39+41+1+48+50+20|042-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80|545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80
毒	4	6	128	969-0|569-0|071-0	969-0+39+41+1+48+50+20|968-0+36+38+1+45+47+80|569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|071-0+40+42+1+49+51+20|070-0+37+39+1+46+48+80
毒	4	7	129	317-0|569-0|691-0	317-0+38+40+1+47+49+20|316-0+35+37+1+44+46+80|569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80
毒	4	8	130	317-0|569-0|545-0	317-0+38+40+1+47+49+20|316-0+35+37+1+44+46+80|569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80
毒	4	9	131	967-0|569-0|691-0	967-0+41+43+1+50+52+20|966-0+36+38+1+45+47+80|569-0+41+43+1+50+52+20|568-0+37+39+1+46+48+80|691-0+48+50+1+57+59+20|690-0+38+40+1+47+49+80
毒	4	10	132	967-0|015-0|407-0	967-0+41+43+1+50+52+20|966-0+36+38+1+45+47+80|015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|407-0+38+40+1+47+49+20|315-0+36+38+1+45+47+80
毒	5	1	133	080-2|199-1|904-0	080-2+55+57+1+64+66+20|079-1+52+54+1+61+63+80|199-1+55+57+1+64+66+20|079-1+52+54+1+61+63+80|904-0+53+55+1+62+64+20|211-1+51+53+1+60+62+80
地面	1	1	134	449-0|529-0|551-0	449-0+18+20+1+27+29+100|529-0+17+19+1+26+28+100|551-0+16+18+1+25+27+100
地面	1	2	135	449-0|529-0|322-0	449-0+18+20+1+27+29+100|529-0+17+19+1+26+28+100|322-0+17+19+1+26+28+100
地面	1	3	136	104-0|551-0|095-0	104-0+16+18+1+25+27+100|551-0+16+18+1+25+27+100|095-0+20+22+1+29+31+100
地面	1	4	137	104-0|551-0|322-0	104-0+16+18+1+25+27+100|551-0+16+18+1+25+27+100|322-0+17+19+1+26+28+100
地面	1	5	138	104-0|449-0|529-0	104-0+16+18+1+25+27+100|449-0+18+20+1+27+29+100|529-0+17+19+1+26+28+100
地面	1	6	139	104-0|529-0|322-0	104-0+16+18+1+25+27+100|529-0+17+19+1+26+28+100|322-0+17+19+1+26+28+100
地面	1	7	140	104-0|449-0|322-0	104-0+16+18+1+25+27+100|449-0+18+20+1+27+29+100|322-0+17+19+1+26+28+100
地面	1	8	141	769-0|449-0|529-0	769-0+22+24+1+31+33+100|449-0+18+20+1+27+29+100|529-0+17+19+1+26+28+100
地面	1	9	142	769-0|449-0|322-0	769-0+22+24+1+31+33+100|449-0+18+20+1+27+29+100|322-0+17+19+1+26+28+100
地面	1	10	143	769-0|529-0|551-0	769-0+22+24+1+31+33+100|529-0+17+19+1+26+28+100|551-0+16+18+1+25+27+100
地面	3	1	144	552-0|618-0|660-0	552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|618-0+24+26+1+33+35+100|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80
地面	3	2	145	552-0|618-0|246-0	552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|618-0+24+26+1+33+35+100|246-0+23+25+1+32+34+100
地面	3	3	146	552-0|660-0|443-0	552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80|443-0+22+24+1+31+33+100
地面	3	4	147	552-0|618-0|095-0	552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|618-0+24+26+1+33+35+100|095-0+24+26+1+33+35+100
地面	3	5	148	622-0|660-0|095-0	622-0+25+27+1+34+36+100|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80|095-0+24+26+1+33+35+100
地面	3	6	149	622-0|552-0|660-0	622-0+25+27+1+34+36+100|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80
地面	3	7	150	622-0|552-0|618-0	622-0+25+27+1+34+36+100|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|618-0+24+26+1+33+35+100
地面	3	8	151	622-0|618-0|660-0	622-0+25+27+1+34+36+100|618-0+24+26+1+33+35+100|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80
地面	3	9	152	622-0|552-0|095-0	622-0+25+27+1+34+36+100|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|095-0+24+26+1+33+35+100
地面	3	10	153	562-1|552-0|660-0	562-1+24+26+1+33+35+100|552-0+29+31+1+38+40+20|551-0+22+24+1+31+33+80|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80
地面	4	1	154	323-0|450-0|530-0	323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80|450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80
