编号	名称	地点	X	Y	道具	图标
46	itb_a0101_46	翡绿３号街区	2887	2728	经验糖果Ｍ	bag-道具
47	itb_a0101_47	库流水路	2848	3015	厉害伤药	bag-回复
48	itb_a0101_48	绿色广场	2806	2794	精灵球	bag-精灵球
49	itb_a0101_49	翡绿３号街区	2855	2591	解毒药	bag-回复
50	itb_a0101_50	翡绿３号街区	2855	2351	灼伤药	bag-回复
51	itb_a0101_51	翡绿１号街区	2545	2325	特攻增强剂	bag-道具
52	itb_a0101_52	翡绿１号街区	2593	2282	厉害伤药	bag-回复
53	itb_a0101_53	翡绿７号街区	3430	3210	解麻药	bag-回复
54	itb_a0101_54	翡绿６号街区	3610	2933	解毒药	bag-回复
55	itb_a0101_55	翡绿６号街区	3657	2884	特防增强剂	bag-道具
56	itb_a0101_56	翡绿７号街区	3321	2987	好伤药	bag-回复
57	itb_a0101_57	１７号野生特区	3292	3097	珍珠	bag-宝物
58	itb_a0101_58	库流水路	3139	3006	伤药	bag-回复
59	itb_a0101_59	库流水路	3131	2876	珍珠	bag-宝物
60	itb_a0101_60	库流水路	3163	2761	活力碎片	bag-回复
61	itb_a0101_61	库流水路	2978	3107	灼伤药	bag-回复
62	itb_a0101_62	库流水路	2879	3098	伤药	bag-回复
63	itb_a0101_63	库流水路	3023	2966	伤药	bag-回复
64	itb_a0101_64	库流水路	3052	2818	活力碎片	bag-回复
65	itb_a0101_65	库流水路	3034	2747	超级球	bag-精灵球
66	itb_a0101_66	翡绿３号街区	3102	2429	黑暗球	bag-精灵球
67	itb_a0101_67	翡绿３号街区	2955	2404	活力碎片	bag-回复
68	itb_a0101_68	翡绿１号街区	2517	2267	伤药	bag-回复
69	itb_a0101_69	２号野生特区	2748	2936	好伤药	bag-回复
70	itb_a0101_70	翡绿３号街区	2854	2670	超级球	bag-精灵球
71	itb_a0101_71	库流水路	2843	3088	活力碎片	bag-回复
72	itb_a0101_72	翡绿３号街区	3016	2661	超级球	bag-精灵球
73	itb_a0101_73	翡绿６号街区	3779	2601	超级球	bag-精灵球
74	itb_a0101_74	翡绿６号街区	3594	2821	好伤药	bag-回复
75	itb_a0101_75	翡绿大道	2457	2335	灼伤药	bag-回复
76	itb_a0101_76	翡绿１号街区	2391	2225	攻击增强剂	bag-道具
77	itb_a0101_77	１１号野生特区	3239	2569	金珠	bag-宝物
78	itb_a0101_78	库流水路	3127	2673	好伤药	bag-回复
79	itb_a0101_79	密阿雷南站前	3377	3412	精灵球	bag-精灵球
80	itb_a0101_80	库流水路	3281	2768	巢穴球	bag-精灵球
81	itb_a0101_81	翡绿６号街区	3671	3033	彩色螺丝	colorful-screw
82	itb_a0101_82	翡绿６号街区	3676	3032	特攻增强剂	bag-道具
83	itb_a0101_83	翡绿７号街区	3413	3274	彩色螺丝	colorful-screw
84	itb_a0101_84	翡绿７号街区	3423	2985	彩色螺丝	colorful-screw
85	itb_a0101_85	翡绿６号街区	3447	2963	神奇糖果	bag-道具
86	itb_a0101_86	库流水路	3048	3193	活力碎片	bag-回复
87	itb_a0101_87	翡绿６号街区	3526	2974	光之石	bag-道具
88	itb_a0101_88	１７号野生特区	3114	3088	活力块	bag-回复
89	itb_a0101_89	翡绿３号街区	2763	2407	彩色螺丝	colorful-screw
90	itb_a0101_90	翡绿３号街区	2781	2400	神奇糖果	bag-道具
91	itb_a0101_91	翡绿３号街区	2714	2463	水之石	bag-道具
92	itb_a0101_92	翡绿３号街区	2712	2466	ＨＰ增强剂	bag-道具
93	itb_a0101_93	翡绿６号街区	3372	2902	超级球	bag-精灵球
94	itb_a0101_94	翡绿１号街区	2519	2261	彩色螺丝	colorful-screw
95	itb_a0101_95	翡绿大道	2480	2289	叶之石	bag-道具
96	itb_a0101_96	翡绿１号街区	2521	2264	特防增强剂	bag-道具
97	itb_a0101_97	绿色广场	2788	2551	彩色螺丝	colorful-screw
98	itb_a0101_98	翡绿３号街区	2968	2660	攻击增强剂	bag-道具
99	itb_a0101_99	翡绿１号街区	2347	2254	彩色螺丝	colorful-screw
100	itb_a0101_100	翡绿３号街区	2939	2767	防御增强剂	bag-道具
101	itb_a0101_101	库流水路	3041	2965	彩色螺丝	colorful-screw
102	itb_a0101_102	库流水路	3056	2934	速度增强剂	bag-道具
103	itb_a0101_103	翡绿６号街区	3708	2747	彩色螺丝	colorful-screw
104	itb_a0101_105	１７号野生特区	3323	3164	彩色螺丝	colorful-screw
105	itb_a0101_106	翡绿８号街区	2878	3401	彩色螺丝	colorful-screw
106	itb_a0101_107	翡绿大道	3159	3492	丸子珍珠	bag-宝物
107	itb_a0101_108	１７号野生特区	3178	3037	招式学习器０７４	bag-招式学习器
108	itb_a0101_109	翡绿７号街区	3421	3192	招式学习器０８０	bag-招式学习器
109	itb_a0101_110	１７号野生特区	3203	3240	计时球	bag-精灵球
110	itb_a0101_111	１７号野生特区	3282	3149	黑暗球	bag-精灵球
111	itb_a0101_112	１７号野生特区	3203	3076	神奇糖果	bag-道具
112	itb_a0101_113	１７号野生特区	3143	3307	高级球	bag-精灵球
113	itb_a0101_114	库流水路	2970	2890	彩色螺丝	colorful-screw
114	itb_a0101_115	翡绿７号街区	3191	3447	厉害伤药	bag-回复
115	itb_a0101_116	翡绿大道	2403	2357	珍珠	bag-宝物
116	itb_a0102_01	翡绿８号街区	2805	3661	经验糖果Ｓ	bag-道具
117	itb_a0102_02	翡绿８号街区	2851	3681	活力碎片	bag-回复
118	itb_a0102_03	翡绿８号街区	2778	3581	经验糖果Ｓ	bag-道具
119	itb_a0102_04	翡绿８号街区	2812	3606	解麻药	bag-回复
120	itb_a0102_05	１号野生特区	2357	3921	解麻药	bag-回复
121	itb_a0102_06	翡绿４号街区	2305	3201	高级球	bag-精灵球
122	itb_a0102_07	１号野生特区	2427	3747	伤药	bag-回复
123	itb_a0102_08	翡绿５号街区	2550	3246	活力碎片	bag-回复
124	itb_a0102_09	翡绿５号街区	2623	3104	好伤药	bag-回复
125	itb_a0102_10	翡绿大道	2747	3172	水之石	bag-道具
126	itb_a0102_11	翡绿２号街区	2138	2785	伤药	bag-回复
127	itb_a0102_12	１号野生特区	2154	3866	伤药	bag-回复
128	itb_a0102_13	翡绿８号街区	2663	3696	超级球	bag-精灵球
129	itb_a0102_14	翡绿９号街区	2287	3323	超级球	bag-精灵球
130	itb_a0102_15	翡绿９号街区	2180	3391	伤药	bag-回复
131	itb_a0102_16	翡绿９号街区	2313	3624	豪华球	bag-精灵球
132	itb_a0102_17	翡绿９号街区	2096	3501	重复球	bag-精灵球
133	itb_a0102_18	浦蓝７号街区	1958	3753	先机球	bag-精灵球
134	itb_a0102_19	翡绿４号街区	2089	3090	高级球	bag-精灵球
135	itb_a0102_20	翡绿４号街区	2131	3175	好伤药	bag-回复
136	itb_a0102_21	翡绿８号街区	2532	3425	万灵药	bag-回复
137	itb_a0102_22	翡绿８号街区	2779	3426	高级球	bag-精灵球
138	itb_a0102_23	翡绿８号街区	2741	3715	ＨＰ增强剂	bag-道具
139	itb_a0102_24	翡绿９号街区	2165	3573	攻击增强剂	bag-道具
140	itb_a0102_25	翡绿４号街区	2131	2796	活力块	bag-回复
141	itb_a0102_26	翡绿２号街区	2180	2394	万灵药	bag-回复
142	itb_a0102_27	翡绿８号街区	2712	3335	厉害伤药	bag-回复
143	itb_a0102_28	翡绿８号街区	2866	3532	防御增强剂	bag-道具
144	itb_a0102_29	翡绿８号街区	2588	3453	好伤药	bag-回复
145	itb_a0102_30	翡绿８号街区	2750	3581	活力块	bag-回复
146	itb_a0102_31	翡绿８号街区	2806	3273	超级球	bag-精灵球
147	itb_a0102_32	翡绿９号街区	2363	3491	全满药	bag-回复
148	itb_a0102_33	翡绿８号街区	2715	3724	万灵药	bag-回复
149	itb_a0102_34	翡绿８号街区	3024	3439	超级球	bag-精灵球
150	itb_a0102_35	翡绿８号街区	2589	3593	好伤药	bag-回复
151	itb_a0102_36	１号野生特区	2547	3787	精灵球	bag-精灵球
152	itb_a0102_38	翡绿９号街区	2304	3736	伤药	bag-回复
153	itb_a0102_40	春日大道	2000	3813	彩色螺丝	colorful-screw
154	itb_a0102_41	春日大道	2012	3797	大珍珠	bag-宝物
155	itb_a0102_42	春日大道	2003	3749	好伤药	bag-回复
156	itb_a0102_43	翡绿８号街区	2709	3629	超级球	bag-精灵球
157	itb_a0102_44	翡绿８号街区	2547	3485	超级球	bag-精灵球
158	itb_a0102_45	翡绿９号街区	2103	3605	好伤药	bag-回复
159	itb_a0102_46	翡绿８号街区	2432	3504	超级球	bag-精灵球
160	itb_a0102_48	翡绿９号街区	2219	3592	好伤药	bag-回复
161	itb_a0102_49	翡绿９号街区	2195	3423	解毒药	bag-回复
162	itb_a0102_50	翡绿９号街区	2185	3357	计时球	bag-精灵球
163	itb_a0102_51	翡绿９号街区	2347	3509	珍珠	bag-宝物
164	itb_a0102_52	翡绿９号街区	2263	3555	灼伤药	bag-回复
165	itb_a0102_53	翡绿５号街区	2529	3368	精灵球	bag-精灵球
166	itb_a0102_54	翡绿５号街区	2457	3279	高级球	bag-精灵球
167	itb_a0102_55	翡绿８号街区	2893	3742	解毒药	bag-回复
168	itb_a0102_56	翡绿８号街区	2606	3689	治愈球	bag-精灵球
169	itb_a0102_57	翡绿８号街区	2485	3651	伤药	bag-回复
170	itb_a0102_58	翡绿９号街区	2153	3609	金珠	bag-宝物
171	itb_a0102_59	翡绿９号街区	2182	3668	捕网球	bag-精灵球
172	itb_a0102_60	南侧大道	2123	3970	好伤药	bag-回复
173	itb_a0102_61	翡绿９号街区	2119	3567	经验糖果Ｍ	bag-道具
174	itb_a0102_62	翡绿９号街区	2425	3669	精灵球	bag-精灵球
175	itb_a0102_63	翡绿２号街区	2092	2617	好伤药	bag-回复
176	itb_a0102_64	翡绿２号街区	2167	2619	超级球	bag-精灵球
177	itb_a0102_65	翡绿２号街区	2097	2689	火之石	bag-道具
178	itb_a0102_66	翡绿４号街区	2116	3270	雷之石	bag-道具
179	itb_a0102_67	翡绿９号街区	2413	3313	治愈球	bag-精灵球
180	itb_a0102_68	翡绿５号街区	2474	3298	特攻增强剂	bag-道具
181	itb_a0102_69	翡绿５号街区	2600	3115	厉害伤药	bag-回复
182	itb_a0102_70	翡绿４号街区	2243	3285	精灵球	bag-精灵球
183	itb_a0102_71	翡绿２号街区	2129	2459	伤药	bag-回复
184	itb_a0102_72	翡绿大道	2294	2588	好伤药	bag-回复
185	itb_a0102_73	翡绿２号街区	2165	2734	精灵球	bag-精灵球
186	itb_a0102_74	２号野生特区	2341	2908	解毒药	bag-回复
187	itb_a0102_75	翡绿４号街区	2102	2979	叶之石	bag-道具
188	itb_a0102_76	翡绿４号街区	2338	3120	暗之石	bag-道具
189	itb_a0102_77	翡绿４号街区	2142	3111	超级球	bag-精灵球
190	itb_a0102_78	翡绿４号街区	2330	3080	好伤药	bag-回复
191	itb_a0102_79	翡绿４号街区	2368	3059	好伤药	bag-回复
192	itb_a0102_80	翡绿４号街区	2294	3167	速度增强剂	bag-道具
193	itb_a0102_81	翡绿９号街区	2384	3463	精灵球	bag-精灵球
194	itb_a0102_82	翡绿４号街区	2405	3268	厉害伤药	bag-回复
195	itb_a0102_83	翡绿４号街区	2404	3128	超级球	bag-精灵球
196	itb_a0102_84	翡绿４号街区	2327	3136	精灵球	bag-精灵球
197	itb_a0102_85	翡绿４号街区	2436	3160	好伤药	bag-回复
198	itb_a0102_86	翡绿５号街区	2588	3209	解毒药	bag-回复
199	itb_a0102_87	翡绿４号街区	2188	2957	彩色螺丝	colorful-screw
200	itb_a0102_89	翡绿５号街区	2454	3087	超级球	bag-精灵球
201	itb_a0102_90	翡绿５号街区	2573	3175	高级球	bag-精灵球
202	itb_a0102_91	翡绿５号街区	2559	3018	好伤药	bag-回复
203	itb_a0102_92	翡绿４号街区	2435	3008	经验糖果Ｍ	bag-道具
204	itb_a0102_93	翡绿５号街区	2457	3176	特防增强剂	bag-道具
205	itb_a0102_94	翡绿５号街区	2550	3129	神奇糖果	bag-道具
206	itb_a0102_95	翡绿８号街区	2957	3732	精灵球	bag-精灵球
207	itb_a0102_96	翡绿８号街区	2895	3675	伤药	bag-回复
208	itb_a0102_97	南侧大道	2261	3954	精灵球	bag-精灵球
209	itb_a0102_98	绿色广场	2722	2518	精灵球	bag-精灵球
210	itb_a0102_99	翡绿９号街区	2188	3537	巢穴球	bag-精灵球
211	itb_a0102_100	翡绿８号街区	2690	3368	精灵球	bag-精灵球
212	itb_a0102_101	翡绿９号街区	2088	3537	超级球	bag-精灵球
213	itb_a0102_102	南侧大道	1885	3886	解毒药	bag-回复
214	itb_a0102_103	翡绿９号街区	2120	3460	重复球	bag-精灵球
215	itb_a0102_104	翡绿４号街区	2085	3096	伤药	bag-回复
216	itb_a0102_105	翡绿８号街区	2858	3248	黑暗球	bag-精灵球
217	itb_a0102_106	翡绿８号街区	2555	3535	招式学习器００８	bag-招式学习器
218	itb_a0102_107	翡绿８号街区	2470	3513	珍珠	bag-宝物
219	itb_a0102_108	翡绿５号街区	2492	3389	彩色螺丝	colorful-screw
220	itb_a0102_109	翡绿５号街区	2502	3384	火之石	bag-道具
221	itb_a0102_110	翡绿５号街区	2471	3374	经验糖果Ｓ	bag-道具
222	itb_a0102_111	翡绿５号街区	2506	3357	特攻增强剂	bag-道具
223	itb_a0102_112	翡绿５号街区	2497	3367	巢穴球	bag-精灵球
224	itb_a0102_113	１号野生特区	2366	3801	活力碎片	bag-回复
225	itb_a0102_114	１号野生特区	2106	3847	珍珠	bag-宝物
226	itb_a0102_115	翡绿８号街区	2868	3203	超级球	bag-精灵球
227	itb_a0102_116	１号野生特区	2411	3731	招式学习器１０３	bag-招式学习器
228	itb_a0102_117	翡绿５号街区	2495	3069	彩色螺丝	colorful-screw
229	itb_a0102_118	翡绿５号街区	2503	3041	神奇糖果	bag-道具
230	itb_a0102_119	翡绿５号街区	2474	3032	特防增强剂	bag-道具
231	itb_a0102_120	翡绿９号街区	2343	3335	彩色螺丝	colorful-screw
232	itb_a0102_121	翡绿５号街区	2494	3037	攻击增强剂	bag-道具
233	itb_a0102_122	翡绿４号街区	2262	2962	彩色螺丝	colorful-screw
234	itb_a0102_123	翡绿４号街区	2290	3023	防御增强剂	bag-道具
235	itb_a0102_124	翡绿４号街区	2290	3066	ＨＰ增强剂	bag-道具
236	itb_a0102_125	翡绿４号街区	2260	3094	招式学习器０３３	bag-招式学习器
237	itb_a0102_126	翡绿４号街区	2183	3085	速度增强剂	bag-道具
238	itb_a0102_127	翡绿４号街区	2206	3006	觉醒之石	bag-道具
239	itb_a0102_128	翡绿４号街区	2231	3054	彩色螺丝	colorful-screw
240	itb_a0102_129	１号野生特区	2236	3869	活力碎片	bag-回复
241	itb_a0102_130	翡绿２号街区	2287	2754	彩色螺丝	colorful-screw
242	itb_a0102_131	翡绿８号街区	2785	3353	彩色螺丝	colorful-screw
243	itb_a0102_132	翡绿９号街区	2401	3413	招式学习器０１９	bag-招式学习器
244	itb_a0102_133	绿色广场	2301	2576	招式学习器０４９	bag-招式学习器
245	itb_a0102_134	翡绿大道	2713	3177	招式学习器００１	bag-招式学习器
246	itb_a0102_135	翡绿８号街区	2656	3505	金珠	bag-宝物
247	itb_a0103_01	２号野生特区	2414	2892	超级球	bag-精灵球
248	itb_a0103_02	２号野生特区	2619	2786	招式学习器０２７	bag-招式学习器
249	itb_a0103_03	２号野生特区	2726	2684	伤药	bag-回复
250	itb_a0103_04	２号野生特区	2546	2733	活力碎片	bag-回复
251	itb_a0103_07	翡绿大道	2392	2425	精灵球	bag-精灵球
252	itb_a0103_08	翡绿大道	2320	2418	解麻药	bag-回复
253	itb_a0103_09	翡绿３号街区	2779	2353	好伤药	bag-回复
254	itb_a0103_10	绿色广场	2678	2493	高级球	bag-精灵球
255	itb_a0103_11	翡绿大道	2439	2409	先机球	bag-精灵球
256	itb_a0103_12	２号野生特区	2712	2811	经验糖果Ｓ	bag-道具
257	itb_a0103_13	２号野生特区	2413	2701	治愈球	bag-精灵球
258	itb_a0103_14	２号野生特区	2674	2910	超级球	bag-精灵球
259	itb_a0103_15	２号野生特区	2554	2584	解麻药	bag-回复
260	itb_a0201_01	１２号野生特区	1471	3528	先机球	bag-精灵球
261	itb_a0201_02	浦蓝３号街区	1778	3161	精灵球	bag-精灵球
262	itb_a0201_03	１２号野生特区	1733	3518	解麻药	bag-回复
263	itb_a0201_04	１２号野生特区	1708	3278	招式学习器０１３	bag-招式学习器
264	itb_a0201_05	浦蓝７号街区	1938	3716	高级球	bag-精灵球
265	itb_a0201_06	浦蓝３号街区	1980	3092	治愈球	bag-精灵球
266	itb_a0201_07	浦蓝７号街区	1546	3680	豪华球	bag-精灵球
267	itb_a0201_08	浦蓝７号街区	1465	3669	神奇糖果	bag-道具
268	itb_a0201_09	浦蓝大道	1418	3063	先机球	bag-精灵球
269	itb_a0201_10	浦蓝３号街区	1780	2808	活力块	bag-回复
270	itb_a0201_11	浦蓝３号街区	1881	2873	经验糖果Ｍ	bag-道具
271	itb_a0201_12	浦蓝３号街区	1655	3062	高级球	bag-精灵球
272	itb_a0201_13	浦蓝３号街区	1962	3067	万灵药	bag-回复
273	itb_a0201_14	浦蓝３号街区	1905	2909	大珍珠	bag-宝物
274	itb_a0201_15	５号野生特区	1930	2721	速度增强剂	bag-道具
275	itb_a0201_16	浦蓝３号街区	1896	2839	解毒药	bag-回复
276	itb_a0201_17	浦蓝３号街区	1792	2940	活力碎片	bag-回复
277	itb_a0201_18	浦蓝３号街区	1947	3106	伤药	bag-回复
278	itb_a0201_19	翡绿４号街区	2236	2820	灼伤药	bag-回复
279	itb_a0201_20	浦蓝３号街区	1734	2939	解毒药	bag-回复
280	itb_a0201_21	发呆公园	1508	3175	好伤药	bag-回复
281	itb_a0201_22	浦蓝５号街区	1549	3079	珍珠	bag-宝物
282	itb_a0201_23	浦蓝大道	1419	3375	灼伤药	bag-回复
283	itb_a0201_24	浦蓝大道	1179	3599	解麻药	bag-回复
284	itb_a0201_25	浦蓝大道	1314	3616	活力碎片	bag-回复
285	itb_a0201_26	发呆公园	1932	3657	ＨＰ增强剂	bag-道具
286	itb_a0201_27	浦蓝大道	1420	3651	高级球	bag-精灵球
287	itb_a0201_28	浦蓝大道	1316	3566	活力块	bag-回复
288	itb_a0201_29	浦蓝大道	1150	3491	神奇糖果	bag-道具
289	itb_a0201_30	浦蓝大道	1033	3556	经验糖果Ｓ	bag-道具
290	itb_a0201_31	浦蓝７号街区	1439	3742	经验糖果Ｓ	bag-道具
291	itb_a0201_32	南侧大道	1264	3826	活力碎片	bag-回复
292	itb_a0201_33	浦蓝大道	1218	3373	觉醒之石	bag-道具
293	itb_a0201_34	浦蓝大道	1351	3254	全复药	bag-回复
294	itb_a0201_35	浦蓝大道	1337	3276	神奇糖果	bag-道具
295	itb_a0201_36	浦蓝大道	1266	3412	好伤药	bag-回复
296	itb_a0201_37	浦蓝大道	1376	3234	治愈球	bag-精灵球
297	itb_a0201_38	浦蓝大道	1215	3285	特防增强剂	bag-道具
298	itb_a0201_39	浦蓝大道	1185	3389	高级球	bag-精灵球
299	itb_a0201_40	１２号野生特区	1505	3436	解眠药	bag-回复
300	itb_a0201_41	浦蓝７号街区	1605	3584	解麻药	bag-回复
301	itb_a0201_42	浦蓝７号街区	1705	3704	解眠药	bag-回复
302	itb_a0201_43	浦蓝７号街区	1561	3751	全满药	bag-回复
303	itb_a0201_44	浦蓝７号街区	1662	3677	经验糖果Ｓ	bag-道具
304	itb_a0201_45	浦蓝７号街区	1513	3779	特攻增强剂	bag-道具
305	itb_a0201_46	浦蓝７号街区	1809	3840	活力块	bag-回复
306	itb_a0201_47	浦蓝７号街区	1932	3831	神奇糖果	bag-道具
307	itb_a0201_48	浦蓝７号街区	1757	3833	好伤药	bag-回复
308	itb_a0201_49	春日大道	2000	3463	解麻药	bag-回复
309	itb_a0201_50	发呆公园	1989	3283	超级球	bag-精灵球
310	itb_a0201_51	５号野生特区	1977	2650	解毒药	bag-回复
311	itb_a0201_52	春日大道	2003	2534	解麻药	bag-回复
312	itb_a0201_53	１２号野生特区	1747	3317	高级球	bag-精灵球
313	itb_a0201_54	浦蓝大道	1245	3194	好伤药	bag-回复
314	itb_a0201_55	浦蓝大道	948	3680	超级球	bag-精灵球
315	itb_a0201_56	发呆公园	1965	3322	潜水球	bag-精灵球
316	itb_a0201_57	浦蓝３号街区	1985	2817	活力碎片	bag-回复
317	itb_a0201_58	发呆公园	1523	3356	彩色螺丝	colorful-screw
318	itb_a0201_59	浦蓝３号街区	1779	2890	厉害伤药	bag-回复
319	itb_a0201_60	浦蓝６号街区	1468	3167	重复球	bag-精灵球
320	itb_a0201_61	南侧大道	1678	3920	彩色螺丝	colorful-screw
321	itb_a0201_62	南侧大道	1649	3906	冰之石	bag-道具
322	itb_a0201_63	南侧大道	1580	3894	神奇糖果	bag-道具
323	itb_a0201_64	浦蓝７号街区	1481	3635	彩色螺丝	colorful-screw
324	itb_a0201_65	浦蓝７号街区	1449	3630	ＨＰ增强剂	bag-道具
325	itb_a0201_66	浦蓝大道	1420	3618	特攻增强剂	bag-道具
326	itb_a0201_67	浦蓝大道	1352	3127	彩色螺丝	colorful-screw
327	itb_a0201_68	浦蓝大道	1309	3119	攻击增强剂	bag-道具
328	itb_a0201_69	浦蓝大道	1316	3110	大珍珠	bag-宝物
329	itb_a0201_70	浦蓝大道	1397	3052	彩色螺丝	colorful-screw
330	itb_a0201_71	浦蓝大道	1380	3052	防御增强剂	bag-道具
331	itb_a0201_72	浦蓝大道	1399	3064	特防增强剂	bag-道具
332	itb_a0201_73	浦蓝３号街区	1977	2800	彩色螺丝	colorful-screw
333	itb_a0201_74	浦蓝３号街区	1976	2801	光之石	bag-道具
334	itb_a0201_75	浦蓝３号街区	1779	3060	彩色螺丝	colorful-screw
335	itb_a0201_76	浦蓝３号街区	1754	3036	速度增强剂	bag-道具
336	itb_a0201_77	浦蓝３号街区	1779	3060	神奇糖果	bag-道具
337	itb_a0201_78	浦蓝７号街区	1988	3715	彩色螺丝	colorful-screw
338	itb_a0201_79	浦蓝大道	1304	3171	彩色螺丝	colorful-screw
339	itb_a0201_80	南侧大道	1671	3926	彩色螺丝	colorful-screw
340	itb_a0201_81	浦蓝大道	1384	3665	彩色螺丝	colorful-screw
341	itb_a0201_82	浦蓝３号街区	1961	3008	招式学习器０５６	bag-招式学习器
342	itb_a0201_83	浦蓝７号街区	1821	3725	招式学习器０５８	bag-招式学习器
343	itb_a0201_84	浦蓝７号街区	1615	3599	招式学习器０２６	bag-招式学习器
344	itb_a0201_85	１２号野生特区	1788	3454	重复球	bag-精灵球
345	itb_a0201_86	１２号野生特区	1912	3399	黑暗球	bag-精灵球
346	itb_a0201_87	１２号野生特区	1866	3244	潜水球	bag-精灵球
347	itb_a0201_88	１２号野生特区	1945	3550	好伤药	bag-回复
348	itb_a0201_89	１２号野生特区	1834	3614	活力碎片	bag-回复
349	itb_a0201_90	１２号野生特区	1639	3380	巢穴球	bag-精灵球
350	itb_a0201_91	１２号野生特区	1648	3435	冰之石	bag-道具
351	itb_a0201_92	南侧大道	1179	3779	巢穴球	bag-精灵球
352	itb_a0202_01	１０号野生特区	442	2868	大珍珠	bag-宝物
353	itb_a0202_02	１０号野生特区	838	2755	厉害伤药	bag-回复
354	itb_a0202_03	１０号野生特区	636	2591	活力碎片	bag-回复
355	itb_a0202_04	１０号野生特区	561	2812	金珠	bag-宝物
356	itb_a0202_05	１０号野生特区	421	2783	高级球	bag-精灵球
357	itb_a0202_06	１０号野生特区	381	2650	高级球	bag-精灵球
358	itb_a0202_07	５号野生特区	1674	2665	招式学习器０４０	bag-招式学习器
359	itb_a0202_08	５号野生特区	1526	2340	珍珠	bag-宝物
360	itb_a0202_09	５号野生特区	1555	2359	万灵药	bag-回复
361	itb_a0202_10	５号野生特区	1566	2541	活力碎片	bag-回复
362	itb_a0202_11	５号野生特区	1761	2446	豪华球	bag-精灵球
363	itb_a0202_12	５号野生特区	1809	2511	重复球	bag-精灵球
364	itb_a0202_13	５号野生特区	1778	2572	超级球	bag-精灵球
365	itb_a0202_14	５号野生特区	1717	2677	解毒药	bag-回复
366	itb_a0202_15	５号野生特区	1967	2714	活力碎片	bag-回复
367	itb_a0202_16	蓉粉３号街区	1073	2429	潜水球	bag-精灵球
368	itb_a0202_17	浦蓝４号街区	1101	2524	重复球	bag-精灵球
