编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
136	280-0	10	12	0	10	12
137	280-0	10	12	20	20	22
138	280-0	10	12	40	20	22
139	511-0	13	15	0	13	15
140	513-0	13	15	0	13	15
141	515-0	13	15	0	13	15
142	682-0	16	18	0	16	18
143	684-0	16	18	0	16	18
144	133-0	14	16	0	14	16
145	303-0	18	20	0	18	20
146	447-0	15	17	0	15	17
147	447-0	15	17	20	25	27
148	447-0	15	17	40	25	27
149	148-0	30	31	0	30	31
150	148-0	30	31	20	40	41
151	148-0	30	31	40	40	41
152	705-0	40	41	0	40	41
153	705-0	40	41	20	50	51
154	705-0	40	41	40	50	51
155	701-0	21	23	0	21	23
156	701-0	21	23	20	31	33
157	701-0	21	23	40	31	33
158	587-0	17	19	0	17	19
159	559-0	20	22	0	20	22
160	714-0	19	21	0	19	21
161	168-0	22	24	0	22	24
162	225-0	30	32	0	30	32
163	246-0	20	22	0	20	22
164	246-0	20	22	20	30	32
165	246-0	20	22	40	30	32
166	359-0	16	18	0	16	18
167	359-0	16	18	20	26	28
168	359-0	16	18	40	26	28
169	427-0	15	17	0	15	17
170	016-0	14	16	0	14	16
171	025-0	15	17	0	15	17
172	133-0	15	17	0	15	17
173	427-0	16	18	0	16	18
174	504-0	15	17	0	15	17
175	511-0	16	18	0	16	18
176	513-0	16	18	0	16	18
177	515-0	16	18	0	16	18
178	659-0	15	17	0	15	17
179	661-0	14	16	0	14	16
180	677-0	15	17	0	15	17
181	702-0	17	19	0	17	19
