编号	X	Z	Y	头目	重生时间	最小半径	最大半径	宝可梦列表
129	644	75	3017		300	4	5	120-0+17+19
130	3101	52	1415		300	1	1	013-0+7+9
131	2505	61	1747		300	1	1	013-0+7+9
132	2753	-5	1181		300	1	1	016-0+7+9
133	2956	29	1071		300	1	1	016-0+7+9
134	3101	-15	1069		300	1	1	016-0+7+9
135	2505	49	1713		300	1	1	016-0+7+9
136	2697	24	1786		300	1	1	016-0+7+9
137	2704	18	1838		300	1	1	016-0+7+9
138	2617	-31	1372		300	1	1	016-0+7+9
139	2666	-38	1422		300	1	2	016-0+7+9++++50|017-0+20+22++++50
140	2731	61	1291		300	1	1	016-0+7+9
141	2941	64	923		300	1	1	016-0+7+9
142	2714	24	1834		300	1	1	016-0+7+9
143	2670	49	1823		300	2	3	016-0+7+9
144	2404	75	1778		300	2	2	016-0+7+9
145	2651	-24	1395		300	2	2	016-0+7+9++++50|017-0+20+22++++50
146	3592	8	1107		300	1	1	069-0+11+13
147	3569	7	1071		300	1	1	069-0+11+13
148	3169	-8	864		300	1	1	069-0+11+13
149	3232	-8	883		300	1	1	069-0+11+13
150	2970	52	1418		300	1	1	167-0+12+14
151	3518	8	1110		300	1	1	406-0+12+14
152	3542	8	1089		300	1	1	406-0+12+14
153	2803	2	1171		300	1	1	406-0+12+14
154	3088	-1	982		300	1	1	406-0+12+14
155	3124	-1	1063		300	1	1	406-0+12+14
156	2995	-1	854		300	1	1	406-0+12+14
157	3482	29	1440		300	1	1	504-0+13+15
158	3501	29	1491		300	1	1	504-0+13+15
159	3192	57	1077		300	1	1	504-0+13+15
160	2664	52	1682		300	1	1	568-0+13+15
161	3499	29	1469		300	1	1	568-0+13+15
162	3163	29	1524		300	1	1	568-0+23+25
163	3146	28	1442		300	1	1	568-0+23+25
164	3132	29	1539	1	300	1	1	569-0+38+40+100+38+40
165	3167	76	1036		300	1	1	569-0+36+38
166	3158	76	1000		300	2	2	568-0+13+15
167	3157	72	1012		300	1	1	568-0+13+15
168	3205	-22	844		300	1	1	661-0+7+9
169	2943	61	1197		300	1	1	661-0+7+9
170	3080	-1	1041		300	1	1	661-0+7+9
171	3080	-1	1060		300	1	1	661-0+7+9
172	3652	53	1491		300	2	3	661-0+7+9
173	3312	55	946		300	1	1	661-0+7+9
174	2528	-35	1491		300	1	1	661-0+7+9
175	3545	46	947		300	1	1	661-0+7+9
176	3420	-6	1555		300	1	1	661-0+7+9
177	3596	38	1508		300	2	3	661-0+7+9
178	3562	28	1522		300	2	3	661-0+7+9
179	3194	-27	1327		300	1	1	669-1+11+13
180	3149	-27	1343		300	1	1	669-1+11+13
181	3035	2	1308		300	1	1	669-3+11+13
182	3013	2	1316		300	1	1	669-0+11+13
183	2621	-26	1740	1	300	1	1	669-1+21+23+100+21+23+33.33|669-2+21+23+100+21+23+33.33|669-3+21+23+100+21+23+33.33
184	2885	-7	1330		300	1	1	702-0+17+19+20+27+29+10|504-0+13+15++++90
185	3104	52	1375		300	1	1	014-0+9+11
186	2630	-38	1431	1	300	1	1	018-0+40+42+100+40+42
187	2583	-35	1558		300	1	1	023-0+13+15
188	2954	75	1300		300	1	1	664-6+7+9
189	2933	-22	1484		300	1	1	664-6+7+9++++60|665-6+11+13++++30|666-6+14+16++++10
190	2896	-22	1494		300	1	1	664-6+7+9++++60|665-6+11+13++++30|666-6+14+16++++10
191	2910	-22	1472		300	1	1	665-6+11+13++++60|666-6+14+16++++30|664-6+7+9++++10
192	2914	-22	1486		300	1	1	666-6+14+16++++60|665-6+11+13++++30|664-6+7+9++++10
193	2964	76	1062		300	1	1	659-0+13+15
194	3720	2	1366		300	1	1	662-0+19+21
195	3170	-27	1335		300	1	1	670-1+21+23
196	2865	52	1455		300	2	2	063-0+19+21
197	2782	76	1274		300	1	1	092-0+16+18+++++夜
198	2780	76	1363		300	1	1	092-0+16+18+++++夜
199	2804	1	1171		300	1	1	092-0+16+18+++++夜
200	3032	67	1072		300	1	1	092-0+16+18+++++夜
201	2726	76	1369		300	1	1	093-0+27+29+++++夜
202	3307	-34	1482		300	1	1	359-0+17+20+20+27+30
203	3211	-43	1463		300	1	1	511-0+15+17
204	2790	72	1343		300	1	1	511-0+15+17++++33.33|513-0+15+17++++33.33|515-0+15+17++++33.33
205	2788	72	1272		300	1	1	511-0+15+17++++33.33|513-0+15+17++++33.33|515-0+15+17++++33.33
206	2732	72	1325		300	1	1	511-0+15+17++++33.33|513-0+15+17++++33.33|515-0+15+17++++33.33
207	3117	-34	1384		300	1	1	513-0+15+17
208	3437	-30	1483		300	1	1	515-0+15+17
209	3356	-4	864		300	1	1	133-0+16+18+++++日+晴
210	3069	-25	1431		300	1	1	147-0+28+29+20+38+39++日+晴
211	2705	-26	1721		300	1	1	147-0+28+29+20+38+39+95|148-0+32+33+20+42+43+5
212	3272	-1	984		300	1	1	701-0+23+25+20+33+35+50|016-0+7+9++++50
213	2722	-26	1657		300	1	1	701-0+23+25+20+33+35+10|016-0+7+9++++90
214	2993	-11	1271		300	1	1	333-0+17+19++++10++晴|661-0+7+9++++90++晴
215	3824	-12	1804		300	1	1	013-0+6+9
216	3755	-13	1809		300	1	1	013-0+6+9
217	2907	51	2081		300	1	1	013-0+6+9
218	3216	37	2172		300	1	1	016-0+6+9
219	3334	-18	2076		300	1	1	016-0+6+9
220	3487	-51	1860		300	1	1	016-0+6+9
221	3853	47	1494		300	1	1	016-0+6+9
222	3726	29	1529		300	1	1	016-0+6+9
223	2529	9	1979		300	1	1	016-0+6+9
224	2703	-35	1875		300	1	1	016-0+6+9
225	2507	10	2003		300	1	1	069-0+10+13
226	3713	53	2043		300	1	1	069-0+10+13
227	3718	51	1953		300	1	1	069-0+10+13
228	3288	99	2444		300	1	1	129-0+11+14
229	3398	99	2496		300	1	1	129-0+11+14
230	3555	99	2523		300	1	1	129-0+11+14
231	3139	99	2339		300	1	1	129-0+11+14
232	2782	99	2243		300	1	1	129-0+11+14
233	2716	99	2215		300	1	1	129-0+11+14
234	3164	99	2245		300	1	1	129-0+11+14
235	3702	97	2523		300	1	1	129-0+11+14
236	2962	-23	1989		300	1	1	167-0+11+14
237	3012	-23	1949		300	1	1	167-0+11+14
238	2844	-9	2119		300	1	1	406-0+11+14
239	2861	-8	2144		300	1	1	406-0+11+14
240	3393	6	2156		300	1	1	406-0+11+14
241	3468	5	2224		300	1	1	406-0+11+14
242	3495	-28	1824		300	1	1	406-0+11+14
243	3471	-28	1891		300	1	1	406-0+11+14
244	3562	-40	1631		300	1	1	406-0+11+14
245	3359	4	2101		300	1	1	406-0+11+14
246	3521	5	1644		300	1	1	504-0+12+15
247	3542	5	1705		300	1	1	504-0+12+15
248	3762	76	1536		300	1	1	568-0+12+15
249	3809	75	1828		300	1	1	568-0+12+15
250	3707	37	1649		300	1	1	661-0+6+9
251	3477	-61	2114		300	1	1	661-0+6+9
252	3489	-61	2139		300	1	1	661-0+6+9
253	3100	-32	1877		300	1	1	661-0+6+9
254	3128	-46	1908		300	1	1	661-0+6+9
255	2792	53	2150		300	1	1	661-0+6+9
256	2736	29	1961		300	1	1	661-0+6+9
257	2973	-23	1958		300	1	1	661-0+6+9
258	3003	-23	2005		300	1	1	661-0+6+9
259	3602	48	2428		300	1	1	661-0+6+9
260	2383	76	2058		300	1	1	661-0+6+9
261	2278	76	1917		300	1	1	661-0+6+9
262	3230	-1	1572		300	1	1	661-0+6+9
263	3232	-1	1571		300	1	1	661-0+6+9
264	2900	-47	1971		300	1	1	669-4+10+13
265	2877	-47	1962		300	1	1	669-2+10+13
266	2867	-47	1994		300	1	1	669-3+10+13
267	3672	44	1832		300	1	1	669-1+10+13
268	3499	-40	2024		300	1	1	669-2+10+13
269	3533	-40	1997		300	1	1	669-1+10+13
270	2724	-21	1887	1	300	1	1	669-0+20+23+100+20+23+50|669-4+20+23+100+20+23+50
271	3834	73	2590		300	1	1	669-0+10+13
272	3844	73	2558		300	1	1	669-1+10+13
273	3606	-47	1735		300	1	1	702-0+16+19+20+26+29+66.67|659-0+13+15++++33.33
274	3692	-50	1910		300	1	1	173-0+11+14
275	2582	65	1984		300	1	1	023-0+12+15
276	2619	65	2001		300	1	1	023-0+12+15
277	3625	6	2015		300	1	1	664-6+6+9
278	3796	-14	2422		300	1	1	664-6+6+9
279	3792	-18	2433		300	1	1	666-6+13+16
280	3642	-73	1615		300	1	1	666-6+13+16
281	3169	-13	2043		300	1	1	659-0+12+15
282	3193	-13	2098		300	1	1	659-0+12+15
283	3242	-4	2251		300	1	1	662-0+18+21
284	2893	-49	2002		300	1	1	670-0+20+23
285	3512	-49	1960		300	1	1	353-0+19+22+++++夜
286	3541	-49	1936		300	1	1	353-0+19+22+++++夜
287	3478	-51	1631		300	1	1	092-0+15+18+++++夜
288	3362	-51	1739		300	1	1	092-0+15+18+++++夜
289	3200	-14	2052		300	1	1	092-0+15+18+++++夜
290	3344	-51	1685		300	1	1	093-0+26+29+++++夜
291	2609	65	1975		300	1	1	093-0+26+29+++++夜
292	3616	-1	2174		300	1	1	093-0+26+29+++++夜
293	3361	-41	2005		300	1	1	511-0+14+17
294	3812	74	1649		300	1	1	511-0+14+17++++33.33|513-0+14+17++++33.33|515-0+14+17++++33.33
295	3807	75	1869		300	1	1	511-0+14+17++++33.33|513-0+14+17++++33.33|515-0+14+17++++33.33
296	3627	-1	2205		300	1	1	511-0+14+17++++33.33|513-0+14+17++++33.33|515-0+14+17++++33.33
297	2536	10	1985		300	3	3	511-0+14+17++++16.67|511-0+14+17++++10|511-0+14+17++++6.67|513-0+14+17++++16.67|513-0+14+17++++10|513-0+14+17++++6.67|515-0+14+17++++16.67|515-0+14+17++++10|515-0+14+17++++6.67
298	3157	-49	1713		300	1	1	513-0+14+17
299	3140	-32	1897		300	1	1	515-0+14+17
300	2544	65	2058		300	1	1	684-0+17+20++++50|682-0+17+20++++50
301	2684	-13	2023		300	1	1	303-0+19+22++++50+夜|353-0+19+22++++50+夜
302	2881	-47	1991		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+43+20+51+53+5++阴
303	2886	92	2238		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+43+20+51+53+5++阴
304	3647	31	2253		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+43+20+51+53+5++阴
305	3161	87	2189		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+43+20+51+53+5++阴
306	3004	-12	2198		300	1	1	246-0+21+24+20+31+34
307	259	-1	2005		300	1	1	013-0+7+10
308	871	-7	2018		300	2	2	013-0+7+10
309	211	47	1774		300	1	1	016-0+7+10
310	157	47	2164		300	1	1	016-0+7+10
311	742	61	2422		300	1	1	016-0+7+10
312	565	72	1607		300	1	1	016-0+7+10
313	1236	53	1948		300	1	1	016-0+7+10
314	1129	15	2227		300	1	1	069-0+11+14
315	1081	15	2266		300	1	1	069-0+11+14
316	409	-50	1982		300	1	1	069-0+11+14
317	1030	15	2085		300	1	1	069-0+11+14
318	1033	15	2107		300	1	1	069-0+11+14
319	1075	15	2083		300	1	1	069-0+11+14
320	1516	97	1875		300	1	2	129-0+12+15
321	749	98	1628		300	1	1	129-0+12+15
322	468	96	1536		300	1	1	129-0+12+15
323	1346	-25	2179		300	1	1	406-0+12+15
324	639	64	1818		300	1	2	504-0+13+16
325	544	-1	1802		300	1	1	568-0+13+16
326	832	76	2167		300	1	1	568-0+13+16
327	1558	55	2002		300	1	1	661-0+7+10
328	823	76	2079		300	1	1	661-0+7+10
329	843	53	1768		300	1	1	661-0+7+10
330	989	61	2038		300	1	1	661-0+7+10
331	1341	11	1926		300	1	1	661-0+7+10
332	854	15	2137		300	1	1	661-0+7+10
333	1620	14	2056		300	1	1	669-0+11+14
334	1318	-7	1978		300	1	1	669-1+11+14
335	629	0	1903		300	1	1	669-0+11+14|670-0+21+24
336	564	0	1769		300	1	1	702-0+17+20+20+27+30+50|661-0+7+10++++50
337	422	-27	2100		300	2	2	702-0+17+20++++50|661-0+7+10++++50
338	1604	-16	1598		300	1	1	702-0+17+20+20+27+30+10|504-0+13+16++++90
339	1544	-30	2128		300	1	1	173-0+12+15
340	259	-1	2006		300	1	1	014-0+9+12
341	262	-1	2005		300	1	1	015-0+12+15
342	918	76	1921		300	1	1	023-0+13+16
343	501	-49	2048		300	1	1	664-6+7+10|666-6+14+17
344	502	-49	2048		300	1	1	665-6+11+14
346	662	9	1725		300	1	1	662-0+19+22
347	1444	2	1979		300	1	1	663-0+37+40
349	490	-49	1899		300	1	1	063-0+19+22
350	1393	76	2052		300	1	2	092-0+16+19+++++夜
351	609	76	1993		300	2	3	092-0+16+19+++++夜
352	902	2	1803		300	1	1	092-0+16+19+++++夜
353	886	11	1866		300	1	1	092-0+16+19+++++夜
354	1393	76	2048		300	1	1	093-0+27+30+++++夜
355	599	76	1982		300	1	1	093-0+27+30+++++夜
356	1157	42	1987		300	1	1	684-0+18+21+++++日
357	1523	75	2171		300	1	1	684-0+18+21++++50+日|682-0+18+21++++50+日
358	557	64	2000		300	1	1	684-0+18+21++++50+日|682-0+18+21++++50+日
359	1018	54	1961	1	300	1	1	684-0+28+31+100+28+31
360	607	97	1575		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+42+44+20+52+54+5++阴
361	746	95	1565		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+42+44+20+52+54+5++阴
362	1302	-16	2108		300	1	1	701-0+23+26+20+33+36+50|016-0+7+10++++50
363	783	-21	1983		300	1	1	333-0+17+20++++10++晴|661-0+7+10++++90++晴
364	755	76	1019		300	1	1	013-0+7+9
365	666	76	962		300	1	1	013-0+7+9
366	729	76	951		300	3	3	013-0+7+9
367	919	75	1238		300	1	2	013-0+7+9
368	1299	-26	1537		300	1	1	013-0+7+9
369	602	47	902		300	1	1	016-0+7+9
370	349	47	1206		300	1	1	016-0+7+9
371	561	71	1488		300	1	1	016-0+7+9
372	860	72	1586		300	1	1	016-0+7+9
373	483	-33	1281		300	1	2	069-0+11+13
374	455	-34	1234		300	1	2	069-0+11+13
375	493	-33	1247		300	1	2	069-0+11+13
376	1130	75	1330		300	1	1	167-0+12+14
377	1421	16	1679		300	1	2	406-0+12+14
378	1087	-18	1380		300	1	1	406-0+12+14
379	621	7	1410		300	1	2	406-0+12+14
380	461	74	1336		300	1	1	504-0+13+15
381	687	69	1184		300	1	1	504-0+13+15
382	838	72	931		300	1	1	568-0+13+15
383	1179	76	1442		300	2	2	568-0+13+15
384	1646	-22	1690		300	2	2	661-0+7+9
385	1390	15	1650		300	1	1	661-0+7+9
386	1006	-15	1403		300	1	1	661-0+7+9
387	1300	13	1171		300	1	1	669-0+11+13
388	1001	-16	1484		300	1	1	669-3+11+13
389	734	-20	1188		300	1	1	669-2+11+13
390	891	-24	1033		300	1	1	702-0+17+19+20+27+29+50|661-0+7+9++++50
391	1225	-34	1342		300	1	1	702-0+17+19+20+27+29+50|661-0+7+9++++50
392	250	76	1346		300	1	1	702-0+17+20++++70|587-0+19+22++++30
393	716	76	942	1	300	1	1	014-0+19+21+100+19+21
394	1313	-26	1538		300	1	1	015-0+12+14
395	1429	15	1720		300	1	2	023-0+13+15
396	489	-1	1368		300	1	1	659-0+13+15
397	486	-1	1405		300	1	1	659-0+13+15
398	875	74	1462		300	2	3	659-0+13+15++++50|427-0+16+18++++50
400	945	-24	1112		300	1	1	063-0+19+21
401	831	-2	1250		300	1	2	353-0+20+22+++++夜
402	1159	-33	1394		300	1	1	092-0+16+18+++++夜
403	1194	-15	1471		300	1	1	092-0+16+18+++++夜
404	1431	-26	1386		300	1	1	092-0+16+18+++++夜
405	1133	-16	1471		300	1	2	092-0+16+18+++++夜
406	1027	-17	1460		300	1	2	092-0+16+18+++++夜
407	846	-53	1391		300	1	1	359-0+18+20+20+28+30
408	899	76	1154		300	1	1	280-0+12+14+20+22+24
409	956	76	1240		300	1	1	280-0+12+14+20+22+24
410	835	59	1458		300	1	1	511-0+15+17++++33.33|513-0+15+17++++33.33|515-0+15+17++++33.33
411	1351	-6	1238		300	1	1	684-0+18+20
412	962	-2	1321		300	1	1	133-0+16+18+++++日+晴
413	605	1	970		300	1	1	133-0+16+18+++++日+晴
414	705	-19	1003		300	1	1	303-0+20+22++++50+夜|092-0+16+18++++50+夜
415	1042	-24	841		300	1	1	447-0+17+19+20+27+29++日+晴
416	445	-33	1266		300	1	1	147-0+28+29+20+38+39+95|148-0+32+33+20+42+43+5
417	767	9	1101		300	1	1	701-0+23+25+20+33+35+10|661-0+7+9++++90
418	652	-19	1159		300	1	1	587-0+19+21
419	807	6	1508		300	1	1	587-0+19+21
420	1561	6	1704		300	1	1	246-0+22+24+20+32+34
421	565	-33	1070		300	1	1	333-0+17+19++++10++晴|661-0+7+9++++90++晴
422	1171	75	539		300	1	2	013-0+5+8
423	2554	76	746		300	1	1	013-0+5+8
424	2046	75	464		300	1	1	013-0+5+8|014-0+7+10
425	2010	46	1543		300	1	1	016-0+5+8
426	1860	47	1262		300	1	1	016-0+5+8
427	1752	53	916		300	1	1	016-0+5+8
428	1750	3	661		300	3	3	016-0+5+8
429	1417	-4	962		300	3	3	016-0+5+8
430	1688	7	646		300	1	1	069-0+9+12
431	1708	7	637		300	1	1	069-0+9+12
432	1964	-3	1482		300	1	2	406-0+10+13
433	1779	4	989		300	1	2	406-0+10+13
434	1341	-16	934		300	1	1	406-0+10+13
435	1923	-21	853		300	1	2	406-0+10+13
436	1445	15	559		300	1	2	406-0+10+13
437	1932	6	1360		300	1	2	504-0+11+14
438	1896	15	1341		300	1	1	504-0+11+14
439	1594	60	1220		300	1	1	504-0+11+14
440	1396	76	722		300	1	1	568-0+11+14
441	1425	76	457		300	1	1	568-0+11+14
442	1114	47	407		300	1	1	661-0+5+8
443	1000	46	527		300	1	1	661-0+5+8
444	1054	-11	550		300	1	1	661-0+5+8
445	1902	56	603		300	1	1	661-0+5+8
446	1208	2	485		300	1	1	661-0+5+8
447	1232	2	471		300	1	1	661-0+5+8
448	1892	-28	736		300	1	1	661-0+5+8
449	1691	75	1100		300	1	2	661-0+5+8
450	1704	70	1212		300	2	2	661-0+5+8
451	1738	60	1107		300	2	2	661-0+5+8
452	1850	0	635		300	1	1	669-0+9+12
453	1795	0	635		300	1	1	669-1+9+12
454	1173	75	541		300	1	1	014-0+7+10
455	2555	75	745		300	1	1	014-0+7+10
457	1314	-30	723		300	1	1	017-0+18+21
458	1802	-18	841		300	1	1	017-0+18+21
459	1503	16	715		300	1	1	018-0+36+39
460	1213	2	729		300	1	2	023-0+11+14
461	1740	4	1271		300	1	2	664-6+5+8
462	1799	4	1227		300	1	2	664-6+5+8
463	1774	4	1000		300	1	2	666-6+12+15
464	1317	-31	393		300	1	1	662-0+17+20
465	1558	70	393		300	1	1	677-0+12+15
466	1653	63	395		300	1	1	677-0+12+15
467	1360	16	517		300	1	1	677-0+12+15
468	2230	0	1470		300	1	1	280-0+10+13+20+20+23
469	1759	76	1651		300	1	1	511-0+13+16++++33.33|513-0+13+16++++33.33|515-0+13+16++++33.33
470	1475	76	1259		300	1	1	511-0+13+16++++33.33|513-0+13+16++++33.33|515-0+13+16++++33.33
471	1052	76	674		300	1	1	511-0+13+16++++33.33|513-0+13+16++++33.33|515-0+13+16++++33.33
472	1969	-2	533		300	2	2	511-0+13+16++++33.33|513-0+13+16++++33.33|515-0+13+16++++33.33
473	1945	-2	536		300	1	1	511-0+13+16++++33.33|513-0+13+16++++33.33|515-0+13+16++++33.33
474	1968	-2	536	1	300	1	1	511-0+23+26+100+23+26+33.33|513-0+23+26+100+23+26+33.33|515-0+23+26+100+23+26+33.33
475	1450	15	561		300	1	1	682-0+16+19
476	1397	15	649		300	1	1	682-0+16+19
477	1634	15	801		300	1	1	682-0+16+19
478	1550	-2	358	1	300	1	1	682-0+26+29+100+26+29
479	1675	66	1090		300	2	2	684-0+16+19++++35.71|682-0+16+19++++14.29
480	1700	76	1214		300	2	2	684-0+16+19++++35.71|682-0+16+19++++14.29
481	1436	-3	1087		300	1	1	303-0+18+21++++50+夜|353-0+18+21++++50+夜
482	1607	15	952		300	1	1	447-0+15+18+20+25+28++日+晴
483	1770	4	1006		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+42+20+50+52+5++阴
484	1536	-4	1048		300	1	1	701-0+21+24+20+31+34+50|016-0+5+8++++50
485	1261	-15	692		300	1	1	701-0+21+24+20+31+34+10|016-0+5+8++++90
486	1672	-16	1119		300	2	2	587-0+17+20
487	1630	-6	1316		300	1	1	587-0+17+20
