中文名	编号	X	Z	Y	图标	链接
梯子	2003	2303	0	3761	ladder	
梯子	2004	2205	0	3650	ladder	
梯子	2005	2140	0	3665	ladder	
梯子	2006	2118	0	3559	ladder	
梯子	2007	2918	0	3564	ladder	
梯子	2008	2722	0	3728	ladder	
梯子	2009	2756	0	3608	ladder	
梯子	2010	2571	0	3622	ladder	
梯子	2011	2557	0	3590	ladder	
梯子	2012	2732	0	3672	ladder	
梯子	2013	2677	0	3432	ladder	
梯子	2014	2615	0	3412	ladder	
梯子	2015	2579	0	3455	ladder	
梯子	2016	2576	0	3488	ladder	
梯子	2017	2842	0	3437	ladder	
梯子	2018	2913	0	3343	ladder	
梯子	2019	2698	0	3312	ladder	
梯子	2020	2704	0	3290	ladder	
梯子	2021	2554	0	3072	ladder	
梯子	2022	2136	0	3096	ladder	
梯子	2023	2438	0	3062	ladder	
梯子	2024	3298	0	3026	ladder	
梯子	2025	3225	0	3013	ladder	
梯子	2026	3440	0	2970	ladder	
梯子	2027	3566	0	2953	ladder	
梯子	2028	2740	0	2431	ladder	
梯子	2029	2893	0	2760	ladder	
梯子	2030	2496	0	2397	ladder	
梯子	2031	2687	0	2422	ladder	
梯子	2032	2388	0	2263	ladder	
梯子	2033	2185	0	2458	ladder	
梯子	2034	3640	0	2387	ladder	
梯子	2035	3611	0	2982	ladder	
梯子	2036	3629	0	2351	ladder	
梯子	2037	3809	0	1992	ladder	
梯子	2038	3455	0	1994	ladder	
梯子	2039	3606	0	1654	ladder	
梯子	2040	3480	0	1449	ladder	
梯子	2041	3040	0	1942	ladder	
梯子	2042	2935	0	1972	ladder	
梯子	2043	2836	0	1999	ladder	
梯子	2044	2699	0	1971	ladder	
梯子	2045	2629	0	2052	ladder	
梯子	2046	2588	0	2021	ladder	
梯子	2047	2595	0	1591	ladder	
梯子	2048	2663	0	1332	ladder	
梯子	2049	2691	0	1381	ladder	
梯子	2050	2893	0	1443	ladder	
梯子	2051	2967	0	1177	ladder	
梯子	2052	3588	0	1136	ladder	
梯子	2053	3636	0	1364	ladder	
梯子	2054	3599	0	1333	ladder	
梯子	2055	3590	0	1399	ladder	
梯子	2056	2315	0	1336	ladder	
梯子	2057	2238	0	1602	ladder	
梯子	2058	2141	0	1574	ladder	
梯子	2059	1718	0	1026	ladder	
梯子	2060	2377	0	980	ladder	
梯子	2061	2740	0	474	ladder	
梯子	2062	2701	0	637	ladder	
梯子	2063	2613	0	333	ladder	
梯子	2064	2527	0	304	ladder	
梯子	2065	2177	0	299	ladder	
梯子	2066	1543	0	487	ladder	
梯子	2067	1345	0	475	ladder	
梯子	2068	1252	0	439	ladder	
梯子	2069	1343	0	766	ladder	
梯子	2070	1589	0	984	ladder	
梯子	2071	1824	0	860	ladder	
梯子	2072	1795	0	810	ladder	
梯子	2073	1938	0	1414	ladder	
梯子	2074	1838	0	1354	ladder	
梯子	2075	1592	0	1557	ladder	
梯子	2076	1693	0	1697	ladder	
梯子	2077	1140	0	1384	ladder	
梯子	2078	1220	0	1498	ladder	
梯子	2079	1214	0	1283	ladder	
梯子	2080	1425	0	1323	ladder	
梯子	2081	910	0	1405	ladder	
梯子	2082	872	0	1185	ladder	
梯子	2083	843	0	1166	ladder	
梯子	2084	985	0	1222	ladder	
梯子	2085	728	0	1045	ladder	
梯子	2086	659	0	1000	ladder	
梯子	2087	724	0	1223	ladder	
梯子	2088	508	0	2327	ladder	
梯子	2089	583	0	2189	ladder	
梯子	2090	347	0	2195	ladder	
梯子	2091	348	0	2443	ladder	
梯子	2092	280	0	2076	ladder	
梯子	2093	621	0	1793	ladder	
梯子	2094	567	0	1867	ladder	
梯子	2095	471	0	1970	ladder	
梯子	2096	564	0	2106	ladder	
梯子	2097	733	0	1963	ladder	
梯子	2098	903	0	1917	ladder	
梯子	2099	886	0	2197	ladder	
梯子	2100	1369	0	2109	ladder	
梯子	2101	1456	0	2167	ladder	
梯子	2102	793	0	2732	ladder	
梯子	2103	815	0	2637	ladder	
梯子	2104	1585	0	2312	ladder	
梯子	2105	1687	0	2251	ladder	
梯子	2106	1725	0	2316	ladder	
梯子	2107	1925	0	2463	ladder	
梯子	2108	1933	0	2545	ladder	
梯子	2109	1832	0	2466	ladder	
梯子	2110	1943	0	2644	ladder	
梯子	2111	1876	0	2696	ladder	
梯子	2112	1329	0	2401	ladder	
梯子	2113	1052	0	2540	ladder	
梯子	2114	1009	0	2582	ladder	
梯子	2115	955	0	2599	ladder	
梯子	2116	817	0	2874	ladder	
梯子	2117	809	0	2918	ladder	
梯子	2118	1120	0	3123	ladder	
梯子	2119	1109	0	3046	ladder	
梯子	2120	825	0	3355	ladder	
梯子	2121	1344	0	3676	ladder	
梯子	2122	1312	0	3574	ladder	
梯子	2123	1466	0	3636	ladder	
梯子	2124	1554	0	3718	ladder	
梯子	2125	1658	0	3813	ladder	
梯子	2126	1905	0	3852	ladder	
梯子	2127	1974	0	3763	ladder	
梯子	2128	1952	0	3657	ladder	
梯子	2129	1626	0	3186	ladder	
梯子	2130	1753	0	2944	ladder	
梯子	2131	1891	0	3013	ladder	
梯子	2132	1930	0	3090	ladder	
梯子	2133	1235	0	3380	ladder	
梯子	2134	1389	0	3193	ladder	
梯子	2135	1084	0	2718	ladder	
梯子	2136	858	0	740	ladder	
梯子	2137	793	0	797	ladder	
梯子	2138	798	0	833	ladder	
梯子	2139	746	0	854	ladder	
梯子	2140	794	0	1002	ladder	
梯子	2141	2288	0	1380	ladder	
梯子	2142	2412	0	782	ladder	
梯子	2143	1617	0	2100	ladder	
梯子	2144	2366	0	3564	ladder	
梯子	2145	2412	0	782	ladder	
梯子	2146	3632	0	2768	ladder	
梯子	2147	3087	0	1925	ladder	
长椅	3001	2103	0	235	bench	
长椅	3002	1847	0	394	bench	
长椅	3003	1607	0	473	bench	
长椅	3004	1563	0	496	bench	
长椅	3005	1511	0	454	bench	
长椅	3006	1789	0	676	bench	
长椅	3007	1843	0	676	bench	
长椅	3008	1869	0	710	bench	
长椅	3009	1837	0	901	bench	
长椅	3010	1960	0	843	bench	
长椅	3011	1968	0	795	bench	
长椅	3012	1351	0	377	bench	
长椅	3013	1252	0	481	bench	
长椅	3014	1152	0	540	bench	
长椅	3015	1088	0	581	bench	
长椅	3016	1336	0	927	bench	
长椅	3017	1434	0	987	bench	
长椅	3018	1513	0	942	bench	
长椅	3019	1404	0	1150	bench	
长椅	3020	1487	0	1276	bench	
长椅	3021	1645	0	1175	bench	
长椅	3022	1711	0	1588	bench	
长椅	3023	2123	0	1684	bench	
长椅	3024	2016	0	1078	bench	
长椅	3025	2083	0	1078	bench	
长椅	3026	2016	0	1152	bench	
长椅	3027	2083	0	1152	bench	
长椅	3028	2113	0	1113	bench	
长椅	3029	2147	0	1078	bench	
长椅	3030	2147	0	1144	bench	
长椅	3031	2207	0	850	bench	
长椅	3032	2249	0	850	bench	
长椅	3033	2806	0	801	bench	
长椅	3034	2843	0	718	bench	
长椅	3035	2865	0	675	bench	
长椅	3036	2928	0	701	bench	
长椅	3037	2898	0	750	bench	
长椅	3038	2642	0	926	bench	
长椅	3039	2803	0	1105	bench	
长椅	3040	2049	0	1852	bench	
长椅	3041	2220	0	1865	bench	
长椅	3042	2275	0	2109	bench	
长椅	3043	355	0	1372	bench	
长椅	3044	1336	0	1928	bench	
长椅	3045	1996	0	3176	bench	
长椅	3046	1019	0	3555	bench	
长椅	3047	3083	0	3546	bench	
长椅	3048	3736	0	1373	bench	
长椅	3049	2319	0	1051	bench	
长椅	3050	2344	0	1120	bench	
长椅	3051	2306	0	1175	bench	
长椅	3052	1807	0	1702	bench	
长椅	3053	751	0	781	bench	
长椅	3054	727	0	802	bench	
长椅	3055	667	0	965	bench	
长椅	3056	534	0	1162	bench	
长椅	3057	394	0	1325	bench	
长椅	3058	602	0	1441	bench	
长椅	3059	651	0	1424	bench	
长椅	3060	818	0	1240	bench	
长椅	3061	867	0	1229	bench	
长椅	3062	848	0	1282	bench	
长椅	3063	964	0	1198	bench	
长椅	3064	763	0	1453	bench	
长椅	3065	774	0	1481	bench	
长椅	3066	1492	0	1652	bench	
长椅	3067	1517	0	1632	bench	
长椅	3068	1544	0	1642	bench	
长椅	3069	1356	0	1316	bench	
长椅	3070	1473	0	1399	bench	
长椅	3071	1444	0	1420	bench	
长椅	3072	1336	0	1447	bench	
长椅	3073	1323	0	1481	bench	
长椅	3074	1095	0	1458	bench	
长椅	3075	1020	0	1501	bench	
长椅	3076	1078	0	1370	bench	
长椅	3077	1117	0	1380	bench	
长椅	3078	1243	0	1731	bench	
长椅	3079	1295	0	1746	bench	
长椅	3080	1250	0	1782	bench	
长椅	3081	1264	0	1848	bench	
长椅	3082	1214	0	1876	bench	
长椅	3083	1463	0	1928	bench	
长椅	3084	1499	0	1953	bench	
长椅	3085	1535	0	1962	bench	
长椅	3086	1579	0	1970	bench	
长椅	3087	1463	0	2068	bench	
长椅	3088	961	0	1940	bench	
长椅	3089	880	0	2148	bench	
长椅	3090	927	0	2305	bench	
长椅	3091	754	0	1757	bench	
长椅	3092	809	0	1770	bench	
长椅	3093	552	0	2015	bench	
长椅	3094	655	0	2066	bench	
长椅	3095	235	0	2000	bench	
长椅	3096	273	0	2028	bench	
长椅	3097	412	0	2199	bench	
长椅	3098	254	0	2210	bench	
长椅	3099	253	0	2246	bench	
长椅	3100	3291	0	790	bench	
长椅	3101	3123	0	821	bench	
长椅	3102	3088	0	819	bench	
长椅	3103	3084	0	964	bench	
长椅	3104	3107	0	1095	bench	
长椅	3105	3152	0	1077	bench	
长椅	3106	3590	0	1173	bench	
长椅	3107	3620	0	1183	bench	
长椅	3108	2780	0	1175	bench	
长椅	3109	2830	0	1150	bench	
长椅	3110	2390	0	1211	bench	
长椅	3111	2391	0	1726	bench	
长椅	3112	2380	0	1780	bench	
长椅	3113	2414	0	1838	bench	
长椅	3114	2615	0	1440	bench	
长椅	3115	2763	0	1521	bench	
长椅	3116	2787	0	1535	bench	
长椅	3117	2783	0	1579	bench	
长椅	3118	2551	0	2054	bench	
长椅	3119	2604	0	2074	bench	
长椅	3120	3234	0	1529	bench	
长椅	3121	3211	0	1575	bench	
长椅	3122	3245	0	1549	bench	
长椅	3123	3277	0	1550	bench	
长椅	3124	3202	0	1707	bench	
长椅	3125	3578	0	1498	bench	
长椅	3126	3574	0	1605	bench	
长椅	3127	3429	0	1804	bench	
长椅	3128	3440	0	1874	bench	
长椅	3129	3463	0	1933	bench	
长椅	3130	3578	0	1894	bench	
长椅	3131	3548	0	1799	bench	
长椅	3132	3599	0	2413	bench	
长椅	3133	3313	0	2106	bench	
长椅	3134	3105	0	2177	bench	
长椅	3135	3119	0	2205	bench	
长椅	3136	3142	0	2192	bench	
长椅	3137	1468	0	2396	bench	
长椅	3138	1491	0	2517	bench	
长椅	3139	1546	0	2575	bench	
长椅	3140	1584	0	2576	bench	
长椅	3141	1308	0	2377	bench	
长椅	3142	1269	0	2391	bench	
长椅	3143	1279	0	2425	bench	
长椅	3144	1170	0	2436	bench	
长椅	3145	1190	0	2504	bench	
长椅	3146	1144	0	2689	bench	
长椅	3147	1122	0	2717	bench	
长椅	3148	420	0	2695	bench	
长椅	3149	454	0	2684	bench	
长椅	3150	717	0	2690	bench	
长椅	3151	723	0	2732	bench	
长椅	3152	848	0	2758	bench	
长椅	3153	772	0	2836	bench	
长椅	3154	737	0	2865	bench	
长椅	3155	766	0	2883	bench	
长椅	3156	1179	0	2996	bench	
长椅	3157	1161	0	3036	bench	
长椅	3158	872	0	3183	bench	
长椅	3159	910	0	3183	bench	
长椅	3160	956	0	3228	bench	
长椅	3161	956	0	3263	bench	
长椅	3162	926	0	3205	bench	
长椅	3163	878	0	3205	bench	
长椅	3164	838	0	3270	bench	
长椅	3165	838	0	3230	bench	
长椅	3166	818	0	3219	bench	
长椅	3167	878	0	3137	bench	
长椅	3168	1116	0	3241	bench	
长椅	3169	998	0	3393	bench	
长椅	3170	1762	0	2832	bench	
长椅	3171	1762	0	2921	bench	
长椅	3172	1890	0	2838	bench	
长椅	3173	2119	0	3691	bench	
长椅	3174	1406	0	3388	bench	
长椅	3175	1499	0	3414	bench	
长椅	3176	1460	0	3489	bench	
长椅	3177	1245	0	3338	bench	
长椅	3178	1306	0	3247	bench	
长椅	3179	1878	0	3501	bench	
长椅	3180	1889	0	3395	bench	
长椅	3181	1889	0	3332	bench	
长椅	3182	1869	0	3286	bench	
长椅	3183	1706	0	3338	bench	
长椅	3184	1121	0	3488	bench	
长椅	3185	1095	0	3533	bench	
长椅	3186	2548	0	2351	bench	
长椅	3187	2290	0	2431	bench	
长椅	3188	2347	0	2394	bench	
长椅	3189	2343	0	2510	bench	
长椅	3190	2405	0	2473	bench	
长椅	3191	3143	0	2474	bench	
长椅	3192	3019	0	2476	bench	
长椅	3193	2972	0	2631	bench	
长椅	3194	2846	0	2658	bench	
长椅	3195	3693	0	2591	bench	
长椅	3196	3275	0	2700	bench	
长椅	3197	3330	0	2786	bench	
长椅	3198	3463	0	2792	bench	
长椅	3199	3356	0	2883	bench	
长椅	3200	3387	0	2886	bench	
长椅	3201	3357	0	2910	bench	
长椅	3202	3384	0	2915	bench	
长椅	3203	3535	0	3270	bench	
长椅	3204	3569	0	3298	bench	
长椅	3205	3436	0	3380	bench	
长椅	3206	3466	0	3410	bench	
长椅	3207	3270	0	3130	bench	
长椅	3208	3262	0	3167	bench	
长椅	3209	3064	0	3323	bench	
长椅	3210	3160	0	3316	bench	
长椅	3211	2836	0	3187	bench	
长椅	3212	3003	0	3528	bench	
长椅	3213	3026	0	3517	bench	
长椅	3214	3307	0	3557	bench	
长椅	3215	3275	0	3578	bench	
长椅	3216	3244	0	3605	bench	
长椅	3217	3160	0	3663	bench	
长椅	3218	3120	0	3689	bench	
长椅	3219	3089	0	3716	bench	
长椅	3220	2083	0	3136	bench	
长椅	3221	2780	0	3106	bench	
长椅	3222	2747	0	3060	bench	
长椅	3223	2726	0	3033	bench	
长椅	3224	2689	0	2983	bench	
长椅	3225	2414	0	3069	bench	
长椅	3226	2461	0	3062	bench	
长椅	3227	2470	0	3092	bench	
长椅	3228	2518	0	3100	bench	
长椅	3229	2504	0	3172	bench	
长椅	3230	2456	0	3158	bench	
长椅	3231	2650	0	3621	bench	
长椅	3232	2680	0	3296	bench	
长椅	3233	2491	0	3328	bench	
长椅	3234	2517	0	3400	bench	
长椅	3235	2238	0	3366	bench	
长椅	3236	2193	0	3414	bench	
长椅	3237	2253	0	3518	bench	
长椅	3238	2303	0	3584	bench	
长椅	3239	2619	0	3625	bench	
长椅	3240	2644	0	3655	bench	
长椅	3241	2487	0	3655	bench	
长椅	3242	2540	0	3640	bench	
长椅	3243	2518	0	3771	bench	
长椅	3244	2567	0	3759	bench	
长椅	3245	1214	0	1084	bench	
长椅	3246	1242	0	1110	bench	
长椅	3247	1148	0	1116	bench	
长椅	3248	1180	0	1156	bench	
树果摊	4001	256	0	1368	berry	
树果摊	4002	537	0	1958	berry	
树果摊	4003	629	0	1936	berry	
树果摊	4004	1520	0	2099	berry	
树果摊	4005	1560	0	2150	berry	
树果摊	4006	1693	0	1085	berry	
树果摊	4007	1744	0	1171	berry	
树果摊	4008	1749	0	1218	berry	
树果摊	4009	2328	0	913	berry	
树果摊	4010	2357	0	846	berry	
树果摊	4011	2956	0	1870	berry	
树果摊	4012	3042	0	1682	berry	
树果摊	4013	3561	0	2578	berry	
树果摊	4014	3722	0	1416	berry	
薄荷摊（＋特防）	4101	584	0	1913	mint	性格一览#薄荷摊一览
薄荷摊（＋防御）	4102	648	0	1949	mint	性格一览#薄荷摊一览
薄荷摊（＋速度）	4103	1489	0	2182	mint	性格一览#薄荷摊一览
薄荷摊（＋攻击）	4104	1661	0	1089	mint	性格一览#薄荷摊一览
薄荷摊（＋防御）	4105	1709	0	1076	mint	性格一览#薄荷摊一览
薄荷摊（＋特攻）	4106	1750	0	1183	mint	性格一览#薄荷摊一览
薄荷摊（＋攻击）	4107	2330	0	849	mint	性格一览#薄荷摊一览
薄荷摊（＋特攻）	4108	2356	0	919	mint	性格一览#薄荷摊一览
薄荷摊（＋速度）	4109	3682	0	2584	mint	性格一览#薄荷摊一览
薄荷摊（＋特防）	4110	1686	0	1204	mint	性格一览#薄荷摊一览
