分类	编号	X	Z	Y	委托人	中文名	奖金	道具	宝可梦
副	5	1483	127	2053	艾好	阿柏蛇的尾巴是什么手感？	500	桃桃果×3|樱子果×3|劲爽汽水	
副	6	1624	127	2706	袁离	用远程招式聪明应对	1000	金珠	
副	7	2401	127	1376	筑澈	充满干劲的哈力栗	1000	经验糖果ＸＳ×3|经验糖果Ｓ	哈力栗Lv.14
副	8	1516	127	1707	淑芝	为火狐狸提供帮助	1200	经验糖果ＸＳ×3|经验糖果Ｓ	火狐狸Lv.14
副	9	3606	127	1130	菲巴	呱呱泡蛙的战书	1800	经验糖果ＸＳ×3|经验糖果Ｓ	呱呱泡蛙Lv.14
副	10	2074	127	3666	香琪	坐骑小羊的叶子真好闻	800	香袋×2|柿仔果×5	
副	11	2379	127	1805	静桦	向往成为铁壳蛹行家	700	银粉|捕网球×5	
副	12	917	127	3482	缤芬	五颜六色的花蓓蓓们	1500	神奇糖果	
副	13	3134	127	917	辉桦	小木灵和喷泉	1000	巢穴球×3	
副	14	424	127	2642	克里姆	隔壁咖啡馆的胖甜妮	3000	泡沫奶油×2	
副	15	1787	127	1319	汀婷	差不多娃娃的心情	900	活力碎片×3|好伤药×5	
副	16	1989	127	3184	源逸	含羞苞品鉴会	10000	奇迹种子	
副	17	2438	127	3733	荣蓉	异色的咩利羊……？	500	美丽之羽×3	咩利羊Lv.11S
副	18	2811	127	2996	荣蓉	花椰猴、爆香猴、冷水猴茶	1000	ＨＰ增强剂×3|白色香草	
副	19	2942	127	2536	古杜莉	毒麻战术大比拼	1200	伤药×5|精灵球×3	
副	20	3796	127	2008	湛树	我的树果是橙橙果	900	橙橙果×10|经验糖果ＸＳ×2	
副	21	2482	127	182	皮亚柏	美术馆的粉蝶蛹	3000	博识眼镜|一般宝石×3	粉蝶蛹-8Lv.9
副	22	2187	127	3956	茉蜜姬	茉蜜姬的请求	1000	经验糖果ＸＳ×3|经验糖果Ｓ×2	妙蛙种子Lv.5|小火龙Lv.5|杰尼龟Lv.5
副	23	2078	127	3748	娃蒂	全息传送梯的地里面是……	1500	柔软沙子|活力碎片	
副	24	2435	127	1170	斐岳	好想和凯西一起玩	300	经验糖果ＸＳ×5	利欧路Lv.25
副	25	1341	127	1199	枫薇	咖啡馆的顾客是破破袋	1200	神奇糖果×2|黑暗球×5	
副	26	1310	127	949	火立	熊熊燃烧吧！小狮狮的火焰！	900	招式学习器０５７|火之石	
副	27	2193	127	3956	余恒	从化石里复活的宝可梦	2500	硬石头|藻根果×10	怪颚龙Lv.20|冰雪龙Lv.20
副	28	1892	127	3760	班伊	一般属性最强论	3000	丝绸围巾	
副	29	3671	127	2750	餐厅	对战全餐・一星	300	招式学习器０８５|攻击增强剂×2|防御增强剂×2	
副	30	1990	127	3315	然彤	好想亲眼看看超级喷火驼！	1200	美味之水×2	
副	31	1991	127	3315	然彤	好想亲眼看看超级勾魂眼！	3000	劲爽汽水×2	
副	32	1992	127	3315	然彤	好想亲眼看看超级恰雷姆！	5000	果汁牛奶×2|经验糖果Ｍ	
副	33	2306	127	2854	岳齐	鲤鱼王比大小	1500	珍珠|经验糖果Ｓ×10	
副	34	3133	127	1118	毕强	减少伤害的墙壁招式	1100	招式学习器０３１|果汁牛奶	
副	35	2529	127	1698	明香	瑜伽大师的指引	2000	弯曲的汤匙|经验糖果Ｓ×5	
副	36	656	127	2422	妮爱	亲密伙伴齐加油	3000	安抚之铃	
副	37	705	127	1589	圭焦	龟脚脚和船	1500	珍珠×3	
副	38	909	127	1767	友利	用变化招式占据上风！	2500	攻击增强剂×3|特攻增强剂×3|力量护腕	
副	39	396	127	3015	佑哉	想用呆呆兽交换呆呆兽	1000	珍珠|力量腰带	呆呆兽-1Lv.30
副	40	3309	127	3380	典立	电力不足的全息传送梯	1700	高级球×3|超级碎片×10	
副	41	2484	127	3719	瑟娴	小心陷阱	1300	招式学习器０８８|好伤药×5	
副	42	3843	127	2099	瑶晶	我推妖精属性！	2400	妖精之羽	
副	43	1212	127	2142	达兴	麻烦无比的独角虫	1500	文柚果×5|哈密果×5|罗子果	
副	44	2074	127	3666	香琪	迷你冰的雪真好闻	2500	叶之石|冷静薄荷×3	
副	45	1511	127	3797	寇可	认真的维修员	800	认真薄荷|灯浆果×10	
副	46	3070	127	2230	霍运	飞翔的大比鸟们	2600	招式学习器０４３|重复球×5	
副	47	3291	127	2142	秀简	目标是多丽米亚造型师	800	活力碎片|经验糖果Ｓ×3	
副	48	1972	127	856	？？？	被牢牢捆住的男人	1500	捕网球×10	
副	49	2340	127	1549	希曲	攻击回复两不误的战术	1500	大根茎|文柚果×10	
副	50	1546	127	1974	警察	有事问你，请配合	2000	乐天薄荷×3	
副	51	917	127	3482	缤芬	与花共舞的花叶蒂们	2500	神奇糖果×2	
副	52	1687	127	3499	冬珠	硬邦邦的呆火驼	900	解冻药×3|经验糖果Ｍ×2	
副	53	1488	127	3372	宇满	最麻的麻麻鳗	1800	雷之石|特攻增强剂	
副	54	1070	127	1172	吉契	聚集气势吧！	3000	焦点镜|高级球×3	
副	55	2770	127	2220	导演	《狰狞怪鱼利牙鱼》	1800	潜水球×3|经验糖果Ｍ×2	
副	56	3075	127	2077	秀莉	格斗×物理，敲敲就好了！	900	力量头带	
副	57	1895	127	2776	普恩霍	喷火驼与新商机	4500	火之石|木炭	
副	58	1164	127	2729	楚安	比起守住更想看穿	1500	黑带|经验糖果Ｍ×3	
副	59	929	127	1851	紫优	摔角鹰人一雪前耻！	2500	气势披带|棱瓜果×5	
副	60	1310	127	950	餐厅	对战全餐・二星	1000	招式学习器０９４|特攻增强剂×3|特防增强剂×3	
副	61	1662	127	3076	手下	我看中的全息传送梯	2000	毒针|超级碎片×20	
副	62	3292	127	2142	秀简	目标是技术高超的多丽米亚造型师	1600	活力碎片×3|经验糖果Ｍ×3	
副	63	430	127	1200	旺凡	ＸＬ尺寸的坐骑山羊	8000	速度增强剂×10	
副	64	1678	127	554	雨臻	风雨无阻	2000	神秘水滴|美味之水×3	
副	65	1522	127	503	恬娴	某公寓的异常现象	4000	磁铁|烛木果×5	
副	66	1721	127	2788	元骑	和怨影娃娃一起侦查	3000	经验糖果Ｍ×5	
副	67	3117	127	2921	优兰	仙子伊布　～疗愈传播者～	2700	贝壳之铃|哈密果×5	
副	68	3660	127	2684	伊琉	如何使用吃剩的东西	1500	吃剩的东西	
副	69	644	127	1476	菲享	充满回忆的天空对战	3900	锐利鸟嘴|力量护踝	
副	70	1307	127	2328	手下	谁最强！？	2000	黑色眼镜|气势头带	
副	71	1616	127	1538	图波	红眼监视者步哨鼠	1200	突击背心|万灵药×3	
副	72	3812	127	2556	帝尚	寻找伽勒尔的泥巴鱼！	800	活力块|力量负重	泥巴鱼-1Lv.38
副	73	2096	127	785	餐厅	对战全餐・回转之梦	1500	比巴果×10|萄葡果×10|藻根果×10	
副	74	2520	127	3537	？？？	信使鸟惊慌失措！	500	精通种子×5	
副	75	2566	127	3729	佳琪	别具一格的宝可梦们	3200	伽勒豆蔻手环|伽勒豆蔻花圈	
副	76	2526	127	1080	维助	超级进化的老师	500	超级碎片×100	
副	77	1063	127	2005	哉晖	绝对捉不到的大嘴娃	1900	高级球×20	大嘴娃Lv.52
副	78	2074	127	3666	香琪	好啦鱿的墨真好闻	2000	大珍珠×3	
副	79	2936	127	943	晖芷	挥挥手指看运气	1400	招式学习器０９９	
副	80	3020	127	705	玺甸	火花四溅的领地之争	3500	先机球×4|密阿雷格雷派饼	
副	81	3427	127	3286	安黎	搬东西的顽皮熊猫	1200	密阿雷格雷派饼×2|果汁牛奶	
副	82	3609	127	1441	庆理	铁臂枪虾的水枪	1500	珍珠×3|大珍珠	
副	83	2084	127	150	冈铁	独剑鞘的锋利度	1000	暗之石|厉害伤药×2	
副	84	1071	127	1257	梧卫	先发制人，使其畏缩！	2800	王者之证	
副	85	652	127	1079	戴路	烛光灵前去之处……	1300	生命宝珠	
副	86	1372	127	2550	手下	谁是搞乱庭院的犯人？	2000	弱点保险|固执薄荷×3	
副	87	3293	127	2142	秀简	目标是出神入化的多丽米亚造型师	2400	活力块|经验糖果Ｌ×2	
副	88	1892	127	932	蓿杜	新手出租车司机	4500	招式学习器０４７|瞬发之羽×10	
副	89	3084	127	960	达卫	飞吧！追吧！电飞鼠！	2000	藻根果×8|榴石果×8|茄番果×8	
副	90	1832	127	2878	？？？	雪妖女一定是……	400	觉醒之石	
副	91	3044	127	2578	古洛莉	抱歉，我用龙属性	5000	龙之牙|莓榴果×5	
副	92	744	127	3328	慈史	４只铁哑铃	3000	凸凸头盔|全复药	
副	93	626	127	3192	法笛安	光电伞蜥找房子	4000	日之石|经验糖果Ｍ×2	
副	94	2610	127	1353	餐厅	对战全餐・三星	2000	招式学习器０４５|ＨＰ增强剂×5|速度增强剂×5	
副	95	2878	127	2002	昼舒	幽灵属性的你诅我咒	4444	咒术之符	
副	96	1935	127	1683	芝宝	充满艺术性地对战	1900	招式学习器０４８|银色王冠×2	
副	97	164	127	2268	菲苯	让乱跑的车轮球停下！	3900	重复球×3|先机球×3	
副	98	3506	127	939	达筱	巨颗种的南瓜精	6000	精通种子×5|神奇糖果×2	
副	99	2083	127	3941	薇蔻	调出可可多拉喜欢的味道	3500	特防增强剂×5|力量束带	
副	100	1567	127	1837	彤薰	宝石海星连接宇宙	2800	进化奇石|大珍珠	
副	101	1178	127	3164	手下	一贯强硬的钢属性	3000	金属膜|经验糖果Ｍ×2	
副	102	1625	127	3343	洁冰	用冰属性凉快一下	4200	不融冰|冰之石	
副	103	3294	127	2142	秀简	挑战多丽米亚联盟	30000	金色王冠	
副	104	1599	127	510	三穗	我的眼里只有虫属性	2500	经验糖果Ｍ×5|力量镜	
副	105	2471	127	718	导演	《恶灵老树朽木妖》	4800	黑暗球×3|劲爽汽水	
副	106	3076	127	530	杳实	弄丢钥匙的钥圈儿	5000	金珠	
副	107	1869	127	1621	皮一	世界第一皮卡丘大比拼	700	电气球|经验糖果Ｌ×3	
副	108	1136	127	960	可莉萍	阿罗拉地区的雷丘	500	茄番果×10|榴石果×10	雷丘-1Lv.64
副	109	3072	127	3539	霍莉	擅长回复的宝可梦们	4500	幸运蛋|全复药×5|活力块×2	
副	110	2725	127	363	湘颂	引向终焉的歌	3400	佛柑果×5|经验糖果Ｍ×5	
副	111	2175	127	3279	香保子	宝贝宝贝太可爱！	20000	哞哞鲜奶×12	
副	112	283	127	1585	湘芬	粉香香和香气探究者	4000	内敛薄荷×3|经验糖果Ｌ	
副	113	1215	127	3790	英映	冰岩怪上站冰宝	5000	经验糖果Ｌ×4	
副	114	3294	127	3065	且凯	盔甲鸟的羽毛	3500	金属膜|霹霹果×3	
副	115	1131	127	793	导演	《狂暴颚龙怪颚龙》	5000	攻击增强剂×10	
副	116	2006	127	3434	琪琪	秀出冰雪巨龙的实力吧！	1000	神奇糖果×3|果汁牛奶	
副	117	2799	127	2046	小种	排行第５的弟子小种	1500	达人带|精通种子×10	
副	118	769	127	3116	阿步	再见了，耿鬼	4000	经验糖果Ｌ×2|经验糖果ＸＬ	
副	119	3042	127	402	春紫	超级由紫锦标赛Ｄ	300000	豪华球×10|豪华球×10|豪华球×10	
副	-1	1856	127	860	玛琪艾儿	如宝石般的光芒	10000	经验糖果ＸＬ	蒂安希Lv.70|小碎钻Lv.66|小碎钻Lv.66
副	-2	1420	127	1584	茉蜜姬	Ｍ项目	10000	经验糖果ＸＬ	超梦Lv.70
副	120	2680	127	3512		特别美味的甜甜圈！	500	木子果×5|文柚果×5|茄番果×5	
副	121	2312	127	1076		巨大牵绊的伙伴们	2300	精通种子×5|等级球×5	
副	122	1939	127	891		培育索财灵吧～！	9999	金色王冠	
副	123	2255	127	3198		要胜利，得蓄力……！	3400	招式学习器１４６	
副	124	1714	127	3195		华丽华丽超华丽的连续招式	7800	招式学习器１４４	
副	125	752	127	2225		急躁的雷伊布	2400	急躁薄荷×5|爽朗薄荷×5|胆小薄荷×5	
副	126	3547	127	3343		追求速度吧！摩托蜥	885	招式学习器１１４	
副	127	2536	127	2251		新员工魔尼尼首次工作	5500	治愈球×50	
副	128	683	127	1094		某小说家的冒险奇谭	2500	肌力之羽×50	
副	129	683	127	1094		某小说家的恋爱故事	10000	体力之羽×50|瞬发之羽×50	
副	130	683	127	1094		某小说家的事件档案	50000	智力之羽×50|精神之羽×50	
副	131	2837	127	3734		榴红区的井盖呢？	3100	黑暗球×20|捕网球×20	
副	132	3330	127	3022		红莲之炮／苍炎之剑	4300	金色王冠|银色王冠×5	
副	133	3732	127	1419		杀出一只大葱鸭	4600	招式学习器１２２	
副	134	2938	127	2700		怒鹦哥，吵架随时奉陪！！！！	900	招式学习器１３９	
副	135	2822	127	928		卡拉卡拉调查问卷	1000	攻击增强剂×3|特攻增强剂×3|ＨＰ增强剂×3	
副	136	3520	127	1593		喜爱散步的狗仔包	750		
副	137	2806	127	1126		用哎呀球菇提高营业额	2000	精灵球×30|超级球×30|高级球×30	
副	138	897	127	2629		用蛸固来粗暴治疗	3800	招式学习器１０９	
副	139	2229	127	342		最强的雷丘拍档	6000	雷丘进化石Ｘ|雷丘进化石Ｙ	
副	140	2384	127	670		来自异次元的讯息	5200	梦境球×5	
副	141	0	0	0		失控超级蟹斗	5300	好胜毛蟹进化石	
副	142	2918	127	3652		盐石宝咖啡	3100	内敛薄荷×5|马虎薄荷×5|冷静薄荷×5	
副	143	1937	127	363		哪只喵喵是你心头好喵？	2222	招式学习器１１６	
副	144	1256	127	1958		寻找那张长椅	2300	速度球×5	
副	145	3094	127	1944		隔壁的巧锻匠	1800	招式学习器１２１	
副	146	2795	127	1772		沙地异象	8000	招式学习器１３６	
副	147	2660	127	3487		我们的宾客溶食兽	10	草蚕果	
副	148	1955	127	210		墓地的墓头墓脑惊魂记	1313	招式学习器１１９	
副	149	1293	127	934		狠辣椒的辣椒庆典	4300	固执薄荷×5|顽皮薄荷×5|勇敢薄荷×5	
副	150	1729	127	2871		蓝鸦寻找的人	2200	美丽之羽×30	
副	151	3446	127	3193		异次元的战斗！来电伍	10000	超级碎片×100	
副	152	2774	127	2137		异次元的战斗！正义社	10000	超级碎片×100	
副	153	1329	127	2508		异次元的战斗！锈蚀组	10000	超级碎片×100	
副	154	3003	127	377		异次元的战斗！ＭＳＢＣ	10000	超级碎片×100	
副	155	2156	127	2388		异次元的战斗！新闪焰队	10000	超级碎片×100	
副	156	3333	127	1551		引以为傲的饭匙蛇	1900	招式学习器１２３	
副	157	560	127	2875		臭烘烘的胖可丁	9310	白色香草×9	
副	158	622	127	3037		建设有用的公告牌的男人	1200	异次元萄葡果×2|异次元茄番果×2|异次元巧可果×2	
副	159	1144	127	3208		偷走点心的犯人是谁？	6200	密阿雷格雷派饼×5	
副	160	2223	127	2880		和丑丑鱼亲密无间	1600	美丽鳞片	
副	161	493	127	2854		凉脊龙的交友大作战	2500	友友球×5	
副	162	1152	127	1016		警卫莫鲁贝可待考量	9800	精通种子×5	
副	163	810	127	1178		决定街道的名字吧！	5000	纪念球×50	
副	164	198	127	1571		照看售货亭	1280	美味之水×3|劲爽汽水×3|果汁牛奶×3	
副	165	2479	127	218		密阿雷美术馆劫案	15000	高级球×50	
副	166	2854	127	3037		模仿真有意思	1700	招式学习器１２５	
副	167	866	127	2958		多边兽的多边形面数	2560	招式学习器１４７	
副	168	1790	127	697		梦梦蚀好梦	4200	招式学习器１２７	
副	169	1366	127	2220		英俊的爱管侍	3400	密阿雷格雷派饼×5|巨大金珠	
副	170	954	127	912		介绍各种洛托姆！	4500	洛托姆型录	
副	171	603	127	1519		醒醒吧，迭失棺	5200	招式学习器１１８	
副	172	2775	127	2112		打击鬼对投摔鬼	5400	招式学习器１１３|招式学习器１２９	
副	173	3446	127	3193		赤手空拳幸存者！	3400	招式学习器１３０	
副	174	1394	127	1598		与那天一样的一杯	7500	月亮球×5	
副	175	3592	127	1058		扒手猫与爱的告白	2200	招式学习器１４１	
副	176	3277	127	701		超凡顶级精选究极咖啡	100	密阿雷格雷派饼×3|哞哞鲜奶×3	
副	177	705	127	1104		参考米立龙做罗雀寿司	4600	重复球×20	
副	178	1902	127	2789		堵得发愁的吃吼霸	2300	ＨＰ增强剂|防御增强剂|特防增强剂	
副	179	434	127	1890		３０秒内击败它！	3000	ＨＰ增强剂×5|防御增强剂×5|特防增强剂×5	
副	180	3637	127	2453		野丫头花宝鼻	3700	甜蜜球×10	
副	181	440	127	1789		异次元的激战！！来电伍	20000	超级碎片×200	
副	182	1902	127	2789		异次元的激战！！正义社	20000	超级碎片×200	
副	183	1929	127	1489		异次元的激战！！锈蚀组	20000	超级碎片×200	
副	184	2751	127	3654		异次元的激战！！ＭＳＢＣ	20000	超级碎片×200	
副	185	1434	127	1592		异次元的激战！！新闪焰队	20000	超级碎片×200	
副	186	3828	127	2003		究极的奥义	10000		
副	187	3163	127	3623		不屈不挠的毒藻龙行家	10000	精通种子×5	
副	188	0	0	0		特殊搜寻完成！	10000	异次元棱瓜果×3|异次元草蚕果×3|异次元佛柑果×3	
副	189	2511	127	303		空中兄妹	5000	拉帝欧斯进化石|拉帝亚斯进化石	
副	190	1094	127	1003		送给女儿的谜拟丘	10000	沉重球×5|诱饵球×5	
副	191	3057	127	3183		卡带交易	30000	经验糖果ＸＬ×5	
副	192	3838	127	1665		悄然逼近的影子	5000	经验糖果ＸＬ×5	
副	193	1879	127	813		美录坦的梦	5000	经验糖果ＸＬ×5	
副	194	2191	127	3960		解放波尔凯尼恩	10000	经验糖果ＸＬ×5	
副	195	1094	127	1003		重启玛机雅娜	20000	经验糖果ＸＬ×5	
副	196	2661	127	3491		解放魔神	10000	经验糖果ＸＬ×5	
副	197	2649	127	3470		超级认真的路卡利欧对决！！！	30000	路卡利欧进化石Ｚ	
副	198	2823	127	3057		玳萝的烦恼	10000	神奇糖果×10	
副	199	2658	127	3484		琵鲁的决心	10000	金色王冠×10	
副	200	0	0	0		在这密阿雷市……	10000	神奇糖果×10|金色王冠×10|精通种子×10	
副	-3	0	0	0		迸发的奔雷	10000	经验糖果ＸＬ×5	
