编号	名称	地点	X	Y	头目	宝可梦列表
35	spn_outzone_a0201_550	发呆公园	1556	3251		702-0+16+18+20+10+10|504-0+12+14+++90
36	spn_outzone_a0201_551	发呆公园	1556	3251		702-0+16+18+20+10+10|504-0+12+14+++90
37	spn_outzone_a0201_L03	发呆公园	1971	3535		704-0+35+39+20+10+95++雨|705-0+41+42+20+10+5++雨
38	spn_outzone_a0201_O00	发呆公园	1764	3625		225-0+31+33
39	spn_outzone_a0201_104	春日大道	2007	2780		016-0+6+8
40	spn_outzone_a0102_102	春日大道	2063	3860		016-0+3+5
41	spn_outzone_a0102_106	春日大道	2019	3828		016-0+5+7
42	spn_outzone_a0102_452	春日大道	2077	3288		661-0+5+7
43	spn_outzone_a0102_456	春日大道	2073	2850		661-0+5+7
44	spn_outzone_a0201_105	浦蓝３号街区	1873	2843		016-0+6+8
45	spn_outzone_a0201_152	浦蓝３号街区	1726	3088		069-0+10+12
46	spn_outzone_a0201_154	浦蓝３号街区	1708	3066		069-0+10+12
47	spn_outzone_a0201_253	浦蓝３号街区	1639	3103		167-0+11+13
48	spn_outzone_a0201_400	浦蓝３号街区	1895	2849		568-0+12+14
49	spn_outzone_a0201_450	浦蓝３号街区	1851	3161		661-0+6+8
50	spn_outzone_a0201_451	浦蓝３号街区	1957	3003		661-0+6+8
51	spn_outzone_a0201_452	浦蓝３号街区	1937	2983		661-0+6+8
52	spn_outzone_a0201_453	浦蓝３号街区	1938	3001		661-0+6+8
53	spn_outzone_a0201_458	浦蓝３号街区	1797	2944		661-0+6+8
54	spn_outzone_a0201_E00	浦蓝３号街区	1760	2864		353-0+19+21++++夜
55	spn_outzone_a0201_L00	浦蓝３号街区	1923	2866		704-0+35+39+20+10+95++雨|705-0+41+42+20+10+5++雨
56	spn_outzone_a0201_L50	浦蓝３号街区	1910	3091		701-0+22+24+20+10+10|016-0+6+8+++90
57	spn_outzone_a0201_R50	浦蓝３号街区	1896	3056		427-0+16+18
58	spn_outzone_a0201_S00	浦蓝３号街区	1901	3051		659-0+14+16
59	spn_outzone_a0201_108	浦蓝５号街区	1457	3118		016-0+6+8
60	spn_outzone_a0201_200	浦蓝５号街区	1374	3437		129-0+11+13
61	spn_outzone_a0201_308	浦蓝５号街区	1271	3239		406-0+11+13
62	spn_outzone_a0201_355	浦蓝５号街区	1441	3608		504-0+12+14
63	spn_outzone_a0201_356	浦蓝５号街区	1441	3608		504-0+12+14
64	spn_outzone_a0201_454	浦蓝５号街区	1549	3082		661-0+6+8
65	spn_outzone_a0201_850	浦蓝５号街区	1213	3341		018-0+37+39
66	spn_outzone_a0201_E50	浦蓝５号街区	1284	3308		092-0+15+17++++夜
67	spn_outzone_a0201_E51	浦蓝５号街区	1357	3279		092-0+15+17++++夜
68	spn_outzone_a0201_E52	浦蓝５号街区	1280	3314		092-0+15+17++++夜
69	spn_outzone_a0201_E53	浦蓝５号街区	1468	3446		092-0+15+17++++夜
70	spn_outzone_a0201_E54	浦蓝５号街区	1278	3469		092-0+15+17++++夜
71	spn_outzone_a0201_I50	浦蓝５号街区	1328	3544		684-0+17+19+++50|682-0+17+19+++50
72	spn_outzone_a0201_I51	浦蓝５号街区	1406	3305		684-0+17+19+++50|682-0+17+19+++50
73	spn_outzone_a0201_K00	浦蓝５号街区	1469	3224		447-0+16+18+20+10++日+晴
74	spn_outzone_a0201_L02	浦蓝５号街区	1426	3186		704-0+35+39+20+10+95++雨|705-0+41+42+20+10+5++雨
75	spn_outzone_a0201_N50	浦蓝５号街区	1262	3388		168-0+23+25
76	spn_outzone_a0201_Q00	浦蓝５号街区	1427	3182		688-0+14+16
77	spn_outzone_a0201_Q01	浦蓝５号街区	1420	3192		688-0+14+16
78	spn_outzone_a0201_Q02	浦蓝５号街区	1434	3178		688-0+14+16
79	spn_outzone_a0201_455	南侧大道	1185	3725		661-0+6+8
80	spn_outzone_a0201_457	浦蓝大道	1346	3063		661-0+6+8
81	spn_outzone_a0201_N51	浦蓝１号街区	1909	2745		168-0+23+25
82	spn_outzone_a0202_100	浦蓝８号街区	901	3250		016-0+6+9
83	spn_outzone_a0202_350	浦蓝８号街区	1007	3171		504-0+12+15
84	spn_outzone_a0202_351	浦蓝８号街区	1060	3203		504-0+12+15
85	spn_outzone_a0202_352	浦蓝８号街区	1073	3201		504-0+12+15
86	spn_outzone_a0202_501	浦蓝８号街区	1123	3251		669-2+10+13
87	spn_outzone_a0202_B01	浦蓝８号街区	976	3354		659-0+12+15
88	spn_outzone_a0202_B02	浦蓝８号街区	949	3397		659-0+12+15
89	spn_outzone_a0202_E52	浦蓝８号街区	869	3086		092-0+15+18++++夜
90	spn_outzone_a0202_E53	浦蓝８号街区	741	3208		092-0+15+18++++夜
91	spn_outzone_a0202_J50	浦蓝８号街区	1046	3264		303-0+19+22+++50+夜|092-0+15+18+++50+夜
92	spn_outzone_a0202_M50	浦蓝８号街区	899	3044		559-0+21+24
93	spn_outzone_a0202_P00	浦蓝８号街区	949	3475		333-0+16+19+++10++晴|661-0+6+9+++90++晴
94	spn_outzone_a0202_101	浦蓝６号街区	1093	2863		016-0+6+9
95	spn_outzone_a0202_151	浦蓝６号街区	883	2844		069-0+10+13
96	spn_outzone_a0202_152	浦蓝６号街区	841	2899		069-0+10+13
97	spn_outzone_a0202_459	浦蓝６号街区	953	2887		661-0+6+9
98	spn_outzone_a0202_551	浦蓝６号街区	1009	3068		702-0+16+19+20+10+50|661-0+6+9+++50
99	spn_outzone_a0202_B03	浦蓝６号街区	1215	2958		659-0+12+15
100	spn_outzone_a0202_G63	浦蓝６号街区	1033	2919	1	511-0+14+17+100+10+33.33|513-0+14+17+100+10+33.33|515-0+14+17+100+10+33.33
101	spn_outzone_a0202_I51	浦蓝６号街区	1151	2997		684-0+17+20
102	spn_outzone_a0202_I52	浦蓝６号街区	1155	2993		684-0+17+20
103	spn_outzone_a0202_I53	浦蓝６号街区	1151	3020		684-0+17+20
104	spn_outzone_a0202_L50	浦蓝６号街区	1228	3069		701-0+22+25+20+10+50|016-0+6+9+++50
105	spn_outzone_a0202_103	南侧大道	386	2957		016-0+6+9
106	spn_outzone_a0202_104	南侧大道	266	2690		016-0+6+9
107	spn_outzone_a0202_I50	南侧大道	875	3619		684-0+17+20+++50|682-0+17+20+++50
108	spn_outzone_a0202_300	浦蓝９号街区	749	3035		406-0+11+14
109	spn_outzone_a0202_301	浦蓝９号街区	714	3075		406-0+11+14
110	spn_outzone_a0202_302	浦蓝９号街区	682	3115		406-0+11+14
111	spn_outzone_a0202_K50	浦蓝９号街区	533	3025		147-0+28+29+20+10+95|148-0+31+33+20+10+5
112	spn_outzone_a0202_L00	浦蓝９号街区	639	3018		704-0+35+39+20+10+95++雨|705-0+41+43+20+10+5++雨
113	spn_outzone_a0202_R00	浦蓝９号街区	645	3018		120-0+17+19
114	spn_outzone_a0202_303	浦蓝４号街区	1114	2441		406-0+11+14
115	spn_outzone_a0202_450	浦蓝４号街区	1154	2657		661-0+6+9
116	spn_outzone_a0202_452	浦蓝４号街区	968	2724		661-0+6+9
117	spn_outzone_a0202_453	浦蓝４号街区	987	2718		661-0+6+9
118	spn_outzone_a0202_458	浦蓝４号街区	1318	2348		661-0+6+9
119	spn_outzone_a0202_460	浦蓝４号街区	1073	2619		661-0+6+9
120	spn_outzone_a0202_500	浦蓝４号街区	1114	2687		669-4+10+13
121	spn_outzone_a0202_550	浦蓝４号街区	1075	2497		702-0+16+19+20+10+50|661-0+6+9+++50
122	spn_outzone_a0202_650	浦蓝４号街区	1205	2826		173-0+11+14
123	spn_outzone_a0202_950	浦蓝４号街区	1296	2402		664-6+6+9
124	spn_outzone_a0202_A00	浦蓝４号街区	1297	2402		665-6+10+13
125	spn_outzone_a0202_A50	浦蓝４号街区	1295	2402		666-6+13+16
126	spn_outzone_a0202_C50	浦蓝４号街区	1051	2574		677-0+13+16
127	spn_outzone_a0202_D00	浦蓝４号街区	1114	2687		670-4+20+23
128	spn_outzone_a0202_E51	浦蓝４号街区	1218	2479		092-0+15+18++++夜
129	spn_outzone_a0202_F50	浦蓝４号街区	916	2548		359-0+17+20+20+10
130	spn_outzone_a0202_L51	浦蓝４号街区	1258	2624		701-0+22+25+20+10+9.52|016-0+6+9+++90.48
131	spn_outzone_a0202_304	夏日大道	1096	2399		406-0+11+14
132	spn_outzone_a0202_455	夏日大道	786	2499		661-0+6+9
133	spn_outzone_a0202_E50	空空空地	921	2647		092-0+15+18++++夜
134	spn_outzone_a0501_050	琼黄５号街区	3103	1416		013-0+7+9
135	spn_outzone_a0501_250	琼黄５号街区	2971	1420		167-0+12+14
136	spn_outzone_a0501_403	琼黄５号街区	3165	1526		568-0+23+25
137	spn_outzone_a0501_404	琼黄５号街区	3148	1444		568-0+23+25
138	spn_outzone_a0501_405	琼黄５号街区	3134	1541	1	569-0+36+38+100+2
139	spn_outzone_a0501_502	琼黄５号街区	3036	1310		669-3+11+13
140	spn_outzone_a0501_503	琼黄５号街区	3014	1318		669-0+11+13
141	spn_outzone_a0501_700	琼黄５号街区	3106	1377		014-0+9+11
142	spn_outzone_a0501_950	琼黄５号街区	2955	1302		664-6+7+9
143	spn_outzone_a0501_951	琼黄５号街区	2934	1485		664-6+7+9+++60|665-6+11+13+++30|666-6+14+16+++10
144	spn_outzone_a0501_952	琼黄５号街区	2898	1495		664-6+7+9+++60|665-6+11+13+++30|666-6+14+16+++10
145	spn_outzone_a0501_A00	琼黄５号街区	2912	1474		665-6+11+13+++60|666-6+14+16+++30|664-6+7+9+++10
146	spn_outzone_a0501_A50	琼黄５号街区	2916	1488		666-6+14+16+++60|665-6+11+13+++30|664-6+7+9+++10
147	spn_outzone_a0501_D50	琼黄５号街区	2866	1456		063-0+19+21
148	spn_outzone_a0501_H00	琼黄５号街区	3118	1385		513-0+15+17
149	spn_outzone_a0501_K00	琼黄５号街区	3070	1433		147-0+28+29+20+10++日+晴
150	spn_outzone_a0501_P00	琼黄５号街区	2995	1272		333-0+17+19+++10++晴|661-0+7+9+++90++晴
151	spn_outzone_a0501_052	琼黄１号街区	2506	1748		013-0+7+9
152	spn_outzone_a0501_103	琼黄１号街区	2507	1715		016-0+7+9
153	spn_outzone_a0501_112	琼黄１号街区	2406	1779		016-0+7+9
154	spn_outzone_a0501_100	琼黄４号街区	2755	1183		016-0+7+9
155	spn_outzone_a0501_106	琼黄４号街区	2619	1374		016-0+7+9
156	spn_outzone_a0501_107	琼黄４号街区	2667	1424		016-0+7+9+++50|017-0+20+22+++50
157	spn_outzone_a0501_108	琼黄４号街区	2733	1293		016-0+7+9
158	spn_outzone_a0501_113	琼黄４号街区	2653	1396		016-0+7+9+++50|017-0+20+22+++50
159	spn_outzone_a0501_304	琼黄４号街区	2805	1173		406-0+12+14
160	spn_outzone_a0501_550	琼黄４号街区	2887	1332		702-0+17+19+20+10+10|504-0+13+15+++90
161	spn_outzone_a0501_850	琼黄４号街区	2632	1432	1	018-0+40+42+100
162	spn_outzone_a0501_E51	琼黄４号街区	2784	1275		092-0+16+18++++夜
163	spn_outzone_a0501_E52	琼黄４号街区	2782	1364		092-0+16+18++++夜
164	spn_outzone_a0501_E53	琼黄４号街区	2806	1173		092-0+16+18++++夜
165	spn_outzone_a0501_F01	琼黄４号街区	2728	1371		093-0+27+29++++夜
166	spn_outzone_a0501_G51	琼黄４号街区	2792	1345		511-0+15+17+++33.33|513-0+15+17+++33.33|515-0+15+17+++33.33
167	spn_outzone_a0501_G52	琼黄４号街区	2790	1274		511-0+15+17+++33.33|513-0+15+17+++33.33|515-0+15+17+++33.33
168	spn_outzone_a0501_G53	琼黄４号街区	2734	1327		511-0+15+17+++33.33|513-0+15+17+++33.33|515-0+15+17+++33.33
169	spn_outzone_a0501_101	琼黄７号街区	2958	1072		016-0+7+9
170	spn_outzone_a0501_102	琼黄７号街区	3103	1070		016-0+7+9
171	spn_outzone_a0501_109	琼黄７号街区	2943	925		016-0+7+9
172	spn_outzone_a0501_152	琼黄７号街区	3171	866		069-0+11+13
173	spn_outzone_a0501_153	琼黄７号街区	3234	885		069-0+11+13
174	spn_outzone_a0501_305	琼黄７号街区	3089	984		406-0+12+14
175	spn_outzone_a0501_306	琼黄７号街区	3125	1065		406-0+12+14
176	spn_outzone_a0501_307	琼黄７号街区	2997	856		406-0+12+14
177	spn_outzone_a0501_406	琼黄７号街区	3169	1038		569-0+36+38
178	spn_outzone_a0501_407	琼黄７号街区	3160	1001		568-0+13+15
179	spn_outzone_a0501_408	琼黄７号街区	3159	1014		568-0+13+15
180	spn_outzone_a0501_450	琼黄７号街区	3207	846		661-0+7+9
181	spn_outzone_a0501_451	琼黄７号街区	2944	1198		661-0+7+9
182	spn_outzone_a0501_453	琼黄７号街区	3082	1042		661-0+7+9
183	spn_outzone_a0501_454	琼黄７号街区	3082	1061		661-0+7+9
184	spn_outzone_a0501_456	琼黄７号街区	3314	948		661-0+7+9
185	spn_outzone_a0501_B02	琼黄７号街区	2966	1063		659-0+13+15
186	spn_outzone_a0501_E54	琼黄７号街区	3034	1073		092-0+16+18++++夜
187	spn_outzone_a0501_J00	琼黄７号街区	3358	866		133-0+16+18++++日+晴
188	spn_outzone_a0501_L50	琼黄７号街区	3274	986		701-0+23+25+20+10+50|016-0+7+9+++50
189	spn_outzone_a0501_104	琼黄大道	2698	1787		016-0+7+9
190	spn_outzone_a0501_105	琼黄大道	2706	1839		016-0+7+9
191	spn_outzone_a0501_110	琼黄大道	2715	1835		016-0+7+9
192	spn_outzone_a0501_111	琼黄大道	2672	1825		016-0+7+9
193	spn_outzone_a0501_150	琼黄８号街区	3593	1108		069-0+11+13
194	spn_outzone_a0501_151	琼黄８号街区	3570	1073		069-0+11+13
195	spn_outzone_a0501_300	琼黄８号街区	3520	1112		406-0+12+14
196	spn_outzone_a0501_301	琼黄８号街区	3543	1091		406-0+12+14
197	spn_outzone_a0501_352	琼黄８号街区	3193	1078		504-0+13+15
198	spn_outzone_a0501_500	琼黄８号街区	3196	1329		669-1+11+13
199	spn_outzone_a0501_501	琼黄８号街区	3151	1344		669-1+11+13
200	spn_outzone_a0501_D00	琼黄８号街区	3171	1336		670-1+21+23
201	spn_outzone_a0501_350	琼黄大道	3484	1441		504-0+13+15
202	spn_outzone_a0501_351	琼黄大道	3502	1493		504-0+13+15
203	spn_outzone_a0501_402	琼黄大道	3501	1470		568-0+13+15
204	spn_outzone_a0501_455	琼黄大道	3653	1492		661-0+7+9
205	spn_outzone_a0501_459	琼黄大道	3422	1556		661-0+7+9
206	spn_outzone_a0501_460	琼黄大道	3597	1510		661-0+7+9
207	spn_outzone_a0501_461	琼黄大道	3564	1523		661-0+7+9
208	spn_outzone_a0501_B50	琼黄大道	3722	1368		662-0+19+21
209	spn_outzone_a0501_F50	琼黄大道	3309	1484		359-0+17+20+20+10
210	spn_outzone_a0501_G50	琼黄大道	3213	1465		511-0+15+17
211	spn_outzone_a0501_H50	琼黄大道	3439	1485		515-0+15+17
212	spn_outzone_a0502_105	琼黄大道	3855	1496		016-0+6+9
213	spn_outzone_a0502_106	琼黄大道	3728	1530		016-0+6+9
214	spn_outzone_a0502_401	琼黄大道	3764	1538		568-0+12+15
215	spn_outzone_a0502_463	琼黄大道	3232	1573		661-0+6+9
216	spn_outzone_a0502_464	琼黄大道	3234	1573		661-0+6+9
217	spn_outzone_a0501_401	琼黄３号街区	2665	1683		568-0+13+15
218	spn_outzone_a0501_457	琼黄３号街区	2530	1493		661-0+7+9
219	spn_outzone_a0501_504	琼黄３号街区	2622	1741	1	669-1+11+13+100+10+33.33|669-2+11+13+100+10+33.33|669-3+11+13+100+10+33.33
220	spn_outzone_a0501_900	琼黄３号街区	2585	1560		023-0+13+15
221	spn_outzone_a0501_K50	琼黄３号街区	2707	1723		147-0+28+29+20+10+95|148-0+32+33+20+10+5
222	spn_outzone_a0501_L51	琼黄３号街区	2723	1659		701-0+23+25+20+10+10|016-0+7+9+++90
223	spn_outzone_a0501_458	北侧大道	3547	949		661-0+7+9
224	spn_outzone_a0502_050	琼黄１１号街区	3826	1806		013-0+6+9
225	spn_outzone_a0502_051	琼黄１１号街区	3756	1811		013-0+6+9
226	spn_outzone_a0502_152	琼黄１１号街区	3715	2044		069-0+10+13
227	spn_outzone_a0502_153	琼黄１１号街区	3720	1954		069-0+10+13
228	spn_outzone_a0502_307	琼黄１１号街区	3564	1632		406-0+11+14
229	spn_outzone_a0502_450	琼黄１１号街区	3709	1651		661-0+6+9
230	spn_outzone_a0502_503	琼黄１１号街区	3674	1833		669-1+10+13
231	spn_outzone_a0502_550	琼黄１１号街区	3607	1737		702-0+16+19+20+10+66.67|659-0+13+15+++33.33
232	spn_outzone_a0502_650	琼黄１１号街区	3693	1912		173-0+11+14
233	spn_outzone_a0502_A51	琼黄１１号街区	3643	1616		666-6+13+16
234	spn_outzone_a0502_052	琼黄６号街区	2909	2082		013-0+6+9
235	spn_outzone_a0502_100	琼黄６号街区	3217	2174		016-0+6+9
236	spn_outzone_a0502_250	琼黄６号街区	2964	1991		167-0+11+14
237	spn_outzone_a0502_251	琼黄６号街区	3014	1951		167-0+11+14
238	spn_outzone_a0502_453	琼黄６号街区	3102	1879		661-0+6+9
239	spn_outzone_a0502_454	琼黄６号街区	3130	1910		661-0+6+9
240	spn_outzone_a0502_457	琼黄６号街区	2975	1959		661-0+6+9
241	spn_outzone_a0502_458	琼黄６号街区	3004	2007		661-0+6+9
242	spn_outzone_a0502_B00	琼黄６号街区	3171	2045		659-0+12+15
243	spn_outzone_a0502_B01	琼黄６号街区	3194	2099		659-0+12+15
244	spn_outzone_a0502_E52	琼黄６号街区	3201	2054		092-0+15+18++++夜
245	spn_outzone_a0502_H50	琼黄６号街区	3142	1899		515-0+14+17
246	spn_outzone_a0502_O50	琼黄６号街区	3006	2199		246-0+21+24+20+10
247	spn_outzone_a0502_101	琼黄９号街区	3336	2077		016-0+6+9
248	spn_outzone_a0502_103	琼黄９号街区	3489	1861		016-0+6+9
249	spn_outzone_a0502_302	琼黄９号街区	3395	2158		406-0+11+14
250	spn_outzone_a0502_303	琼黄９号街区	3470	2226		406-0+11+14
251	spn_outzone_a0502_305	琼黄９号街区	3497	1825		406-0+11+14
252	spn_outzone_a0502_306	琼黄９号街区	3473	1892		406-0+11+14
253	spn_outzone_a0502_308	琼黄９号街区	3361	2102		406-0+11+14
254	spn_outzone_a0502_350	琼黄９号街区	3523	1646		504-0+12+15
255	spn_outzone_a0502_351	琼黄９号街区	3544	1706		504-0+12+15
256	spn_outzone_a0502_451	琼黄９号街区	3479	2115		661-0+6+9
257	spn_outzone_a0502_452	琼黄９号街区	3490	2140		661-0+6+9
258	spn_outzone_a0502_504	琼黄９号街区	3501	2026		669-2+10+13
259	spn_outzone_a0502_505	琼黄９号街区	3535	1999		669-1+10+13
260	spn_outzone_a0502_950	琼黄９号街区	3627	2017		664-6+6+9
261	spn_outzone_a0502_E00	琼黄９号街区	3514	1962		353-0+19+22++++夜
262	spn_outzone_a0502_E01	琼黄９号街区	3542	1938		353-0+19+22++++夜
263	spn_outzone_a0502_E50	琼黄９号街区	3479	1633		092-0+15+18++++夜
264	spn_outzone_a0502_E51	琼黄９号街区	3363	1741		092-0+15+18++++夜
265	spn_outzone_a0502_F00	琼黄９号街区	3346	1687		093-0+26+29++++夜
266	spn_outzone_a0502_F02	琼黄９号街区	3618	2176		093-0+26+29++++夜
267	spn_outzone_a0502_G50	琼黄９号街区	3362	2006		511-0+14+17
268	spn_outzone_a0502_G53	琼黄９号街区	3629	2207		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
269	spn_outzone_a0502_H00	琼黄９号街区	3159	1714		513-0+14+17
270	spn_outzone_a0502_107	琼黄２号街区	2530	1980		016-0+6+9
271	spn_outzone_a0502_108	琼黄２号街区	2705	1877		016-0+6+9
272	spn_outzone_a0502_151	琼黄２号街区	2508	2004		069-0+10+13
273	spn_outzone_a0502_300	琼黄２号街区	2846	2120		406-0+11+14
274	spn_outzone_a0502_301	琼黄２号街区	2863	2146		406-0+11+14
275	spn_outzone_a0502_456	琼黄２号街区	2738	1963		661-0+6+9
276	spn_outzone_a0502_500	琼黄２号街区	2901	1973		669-4+10+13
277	spn_outzone_a0502_501	琼黄２号街区	2879	1964		669-2+10+13
278	spn_outzone_a0502_502	琼黄２号街区	2869	1996		669-3+10+13
279	spn_outzone_a0502_506	琼黄２号街区	2725	1889	1	669-0+10+13+100+10+50|669-4+10+13+100+10+50
280	spn_outzone_a0502_900	琼黄２号街区	2584	1986		023-0+12+15
281	spn_outzone_a0502_901	琼黄２号街区	2621	2002		023-0+12+15
282	spn_outzone_a0502_D00	琼黄２号街区	2895	2003		670-0+20+23
283	spn_outzone_a0502_F01	琼黄２号街区	2611	1976		093-0+26+29++++夜
284	spn_outzone_a0502_G54	琼黄２号街区	2537	1987		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
285	spn_outzone_a0502_J50	琼黄２号街区	2685	2024		303-0+19+22+++50+夜|353-0+19+22+++50+夜
286	spn_outzone_a0502_L00	琼黄２号街区	2882	1992		704-0+35+39+20+10+95++雨|705-0+41+43+20+10+5++雨
287	spn_outzone_a0502_200	１１号野生特区	3289	2446		129-0+11+14
288	spn_outzone_a0502_201	１１号野生特区	3400	2498		129-0+11+14
289	spn_outzone_a0502_202	１１号野生特区	3556	2525		129-0+11+14
290	spn_a0502_w02_v01_001	１１号野生特区	3478	2364		079-0+30+31+5+10
291	spn_a0502_w02_v01_002	１１号野生特区	3379	2322		079-0+30+31+5+10
292	spn_a0502_w02_v01_011	１１号野生特区	3430	2345	1	080-0+32+34+100+10
293	spn_a0502_w02_v01_021	１１号野生特区	3525	2571		618-0+31+32+5+10
294	spn_a0502_w02_v01_022	１１号野生特区	3431	2553		618-0+31+32+5+10
295	spn_a0502_w02_v01_023	１１号野生特区	3359	2533		618-0+31+32+5+10
296	spn_a0502_w02_v01_024	１１号野生特区	3250	2526		618-0+31+32+5+10
297	spn_a0502_w02_v01_025	１１号野生特区	3349	2415		618-0+31+32+5+10
298	spn_a0502_w02_v01_026	１１号野生特区	3459	2462		618-0+31+32+5+10
299	spn_a0502_w02_v01_027	１１号野生特区	3556	2475		618-0+31+32+5+10
300	spn_a0502_w02_v01_028	１１号野生特区	3271	2348		618-0+31+32+5+10
301	spn_a0502_w02_v01_031	１１号野生特区	3388	2607		676-0+30+32+5+10
302	spn_a0502_w02_v01_035	１１号野生特区	3359	2308		676-0+30+32+5+10
303	spn_a0502_w02_v01_036	１１号野生特区	3353	2362		676-0+30+32+5+10
304	spn_a0502_w02_v01_051	１１号野生特区	3386	2496	1	693-0+32+34+100+10
305	spn_a0502_w02_v01_061	１１号野生特区	3545	2525		130-0+31+32+5+10+9|692-0+30+31+5+10+91
306	spn_a0502_w02_v01_062	１１号野生特区	3466	2512		130-0+31+32+5+10+9|692-0+30+31+5+10+91
307	spn_a0502_w02_v01_063	１１号野生特区	3261	2415		130-0+31+32+5+10+9|692-0+30+31+5+10+91
308	spn_a0502_w02_v01_071	１１号野生特区	3312	2462		686-0+31+33+5+10+30|692-0+30+31+5+10+70
309	spn_a0502_w02_v01_072	１１号野生特区	3203	2544		686-0+31+33+5+10+30|692-0+30+31+5+10+70
310	spn_outzone_a0502_203	四季运河	3141	2341		129-0+11+14
311	spn_outzone_a0502_204	四季运河	2783	2245		129-0+11+14
312	spn_outzone_a0502_205	四季运河	2718	2217		129-0+11+14
313	spn_outzone_a0502_206	四季运河	3165	2247		129-0+11+14
314	spn_outzone_a0502_207	四季运河	3704	2525		129-0+11+14
315	spn_outzone_a0502_507	四季运河	3835	2591		669-0+10+13
316	spn_outzone_a0502_508	四季运河	3845	2559		669-1+10+13
317	spn_outzone_a0502_402	北侧大道	3811	1829		568-0+12+15
318	spn_outzone_a0502_G51	北侧大道	3814	1651		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
319	spn_outzone_a0502_455	四季运河沿岸	2793	2152		661-0+6+9
320	spn_outzone_a0502_I50	四季运河沿岸	2546	2060		684-0+17+20+++50|682-0+17+20+++50
321	spn_outzone_a0502_L01	四季运河沿岸	2888	2240		704-0+35+39+20+10+95++雨|705-0+41+43+20+10+5++雨
322	spn_outzone_a0502_L03	四季运河沿岸	3163	2190		704-0+35+39+20+10+95++雨|705-0+41+43+20+10+5++雨
323	spn_outzone_a0502_460	琼黄１２号街区	3603	2430		661-0+6+9
324	spn_outzone_a0502_952	琼黄１２号街区	3798	2424		664-6+6+9
325	spn_outzone_a0502_A50	琼黄１２号街区	3794	2435		666-6+13+16
326	spn_outzone_a0502_G52	琼黄１２号街区	3809	1870		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
327	spn_outzone_a0502_461	中央广场	2384	2060		661-0+6+9
328	spn_outzone_a0502_462	２０号野生特区	2279	1919		661-0+6+9
