编号	中文名	X	Y	招式	页面
1126	经验糖果Ｍ	5	11		
1127	经验糖果Ｌ	6	11		
1128	经验糖果ＸＬ	7	11		
1231	怕寂寞薄荷	8	11		性格一览#薄荷一览
1232	固执薄荷	8	11		性格一览#薄荷一览
1233	顽皮薄荷	8	11		性格一览#薄荷一览
1234	勇敢薄荷	8	11		性格一览#薄荷一览
1235	大胆薄荷	9	11		性格一览#薄荷一览
1236	淘气薄荷	9	11		性格一览#薄荷一览
1237	乐天薄荷	9	11		性格一览#薄荷一览
1238	悠闲薄荷	9	11		性格一览#薄荷一览
1239	内敛薄荷	10	11		性格一览#薄荷一览
1240	慢吞吞薄荷	10	11		性格一览#薄荷一览
1241	马虎薄荷	10	11		性格一览#薄荷一览
1242	冷静薄荷	10	11		性格一览#薄荷一览
1243	温和薄荷	11	11		性格一览#薄荷一览
1244	温顺薄荷	11	11		性格一览#薄荷一览
1245	慎重薄荷	11	11		性格一览#薄荷一览
1246	自大薄荷	11	11		性格一览#薄荷一览
1247	胆小薄荷	12	11		性格一览#薄荷一览
1248	急躁薄荷	12	11		性格一览#薄荷一览
1249	爽朗薄荷	12	11		性格一览#薄荷一览
1250	天真薄荷	12	11		性格一览#薄荷一览
1251	认真薄荷	13	11		性格一览#薄荷一览
1582	伽勒豆蔻手环	14	11		
1592	伽勒豆蔻花圈	15	11		
1785	奇异球	16	11		
2401	妖精之羽	17	11		
2558	精通种子	18	11		
2559	皮可西进化石	19	11		超级进化一览
2560	大食花进化石	0	12		超级进化一览
2561	宝石海星进化石	1	12		超级进化一览
2562	快龙进化石	2	12		超级进化一览
2563	大竺葵进化石	3	12		超级进化一览
2564	大力鳄进化石	4	12		超级进化一览
2565	盔甲鸟进化石	5	12		超级进化一览
2566	雪妖女进化石	6	12		超级进化一览
2569	炎武王进化石	7	12		超级进化一览
2570	龙头地鼠进化石	8	12		超级进化一览
2571	蜈蚣王进化石	9	12		超级进化一览
2572	头巾混混进化石	10	12		超级进化一览
2573	麻麻鳗鱼王进化石	11	12		超级进化一览
2574	水晶灯火灵进化石	12	12		超级进化一览
2575	布里卡隆进化石	13	12		超级进化一览
2576	妖火红狐进化石	14	12		超级进化一览
2577	甲贺忍蛙进化石	15	12		超级进化一览
2578	火炎狮进化石	16	12		超级进化一览
2579	花叶蒂进化石	17	12		超级进化一览
2580	乌贼王进化石	18	12		超级进化一览
2581	龟足巨铠进化石	19	12		超级进化一览
2582	毒藻龙进化石	0	13		超级进化一览
2583	摔角鹰人进化石	1	13		超级进化一览
2584	基格尔德进化石	2	13		超级进化一览
2585	老翁龙进化石	3	13		超级进化一览
2587	列阵兵进化石	4	13		超级进化一览
2588	２０２号客房的钥匙	5	13		
2589	厉害密阿雷格雷派饼	6	13		
2590	研究所的钥匙卡Ａ	7	13		
2591	研究所的钥匙卡Ｂ	8	13		
2592	研究所的钥匙卡Ｃ	9	13		
2593		10	13		
2594		11	13		
2595	小石头	12	13		
2596	纪念戒指	13	13		
2597	签名玩偶	19	13		
2598	美味垃圾	14	13		
2599	活力小树枝	15	13		
2600	玳萝的遗忘物	16	13		
2618	超级碎片	17	13		
2619	彩色螺丝	18	13		i/彩色螺丝
2620	红色卡娜莉玩偶	19	13		i/彩色螺丝
2621	红色卡娜莉玩偶	0	14		i/彩色螺丝
2622	红色卡娜莉玩偶	1	14		i/彩色螺丝
2623	金色卡娜莉玩偶	2	14		i/彩色螺丝
2624	金色卡娜莉玩偶	3	14		i/彩色螺丝
2625	金色卡娜莉玩偶	4	14		i/彩色螺丝
2626	粉红色卡娜莉玩偶	5	14		i/彩色螺丝
2627	粉红色卡娜莉玩偶	6	14		i/彩色螺丝
2628	粉红色卡娜莉玩偶	7	14		i/彩色螺丝
2629	绿色卡娜莉玩偶	8	14		i/彩色螺丝
2630	绿色卡娜莉玩偶	9	14		i/彩色螺丝
2631	绿色卡娜莉玩偶	10	14		i/彩色螺丝
2632	蓝色卡娜莉玩偶	11	14		i/彩色螺丝
2633	蓝色卡娜莉玩偶	12	14		i/彩色螺丝
2634	蓝色卡娜莉玩偶	13	14		i/彩色螺丝
328	招式学习器００１	9	6	头锤	m/头锤
329	招式学习器００２	7	6	龙爪	m/龙爪
330	招式学习器００３	8	6	精神冲击	m/精神冲击
331	招式学习器００４	12	6	碎岩	m/碎岩
332	招式学习器００５	9	6	吼叫	m/吼叫
333	招式学习器００６	8	6	冥想	m/冥想
334	招式学习器００７	10	6	剧毒	m/剧毒
335	招式学习器００８	17	6	电磁波	m/电磁波
336	招式学习器００９	14	6	快速折返	m/快速折返
337	招式学习器０１０	12	6	劈瓦	m/劈瓦
338	招式学习器０１１	12	6	健美	m/健美
339	招式学习器０１２	16	6	岩崩	m/岩崩
340	招式学习器０１３	11	6	冰冻光束	m/冰冻光束
341	招式学习器０１４	13	6	火焰牙	m/火焰牙
342	招式学习器０１５	11	6	冰冻牙	m/冰冻牙
343	招式学习器０１６	8	6	光墙	m/光墙
344	招式学习器０１７	9	6	守住	m/守住
345	招式学习器０１８	12	6	增强拳	m/增强拳
346	招式学习器０１９	16	6	力量宝石	m/力量宝石
347	招式学习器０２０	17	9	嬉闹	m/嬉闹
348	招式学习器０２１	17	6	雷电牙	m/雷电牙
349	招式学习器０２２	2	7	燕返	m/燕返
350	招式学习器０２３	17	6	雷电拳	m/雷电拳
351	招式学习器０２４	11	6	冰冻拳	m/冰冻拳
352	招式学习器０２５	6	6	咬碎	m/咬碎
353	招式学习器０２６	15	6	能量球	m/能量球
354	招式学习器０２７	9	6	高速星星	m/高速星星
355	招式学习器０２８	18	6	挖洞	m/挖洞
356	招式学习器０２９	13	6	火焰拳	m/火焰拳
357	招式学习器０３０	9	6	剑舞	m/剑舞
358	招式学习器０３１	8	6	反射壁	m/反射壁
359	招式学习器０３２	9	6	影子分身	m/影子分身
360	招式学习器０３３	9	6	泰山压顶	m/泰山压顶
361	招式学习器０３４	6	6	暗袭要害	m/暗袭要害
362	招式学习器０３５	9	6	挺住	m/挺住
363	招式学习器０３６	16	6	岩石封锁	m/岩石封锁
364	招式学习器０３７	16	6	隐形岩	m/隐形岩
365	招式学习器０３８	13	6	大字爆炎	m/大字爆炎
366	招式学习器０３９	17	6	放电	m/放电
367	招式学习器０４０	15	6	种子机关枪	m/种子机关枪
368	招式学习器０４１	14	6	水之波动	m/水之波动
369	招式学习器０４２	15	6	终极吸取	m/终极吸取
370	招式学习器０４３	2	7	飞翔	m/飞翔
371	招式学习器０４４	9	6	破坏光线	m/破坏光线
372	招式学习器０４５	6	6	拍落	m/拍落
373	招式学习器０４６	18	6	泥巴射击	m/泥巴射击
374	招式学习器０４７	8	6	高速移动	m/高速移动
375	招式学习器０４８	9	6	玉石俱碎	m/玉石俱碎
376	招式学习器０４９	11	6	冰冻之风	m/冰冻之风
377	招式学习器０５０	13	6	过热	m/过热
378	招式学习器０５１	9	6	神秘守护	m/神秘守护
379	招式学习器０５２	18	6	大地之力	m/大地之力
380	招式学习器０５３	10	6	污泥炸弹	m/污泥炸弹
381	招式学习器０５４	7	6	流星群	m/流星群
382	招式学习器０５５	9	6	终极冲击	m/终极冲击
383	招式学习器０５６	9	6	舍身冲撞	m/舍身冲撞
384	招式学习器０５７	13	6	磷火	m/磷火
385	招式学习器０５８	0	7	铁头	m/铁头
386	招式学习器０５９	8	6	意念头锤	m/意念头锤
387	招式学习器０６０	8	6	预知未来	m/预知未来
388	招式学习器０６１	19	6	暗影爪	m/暗影爪
389	招式学习器０６２	13	6	喷射火焰	m/喷射火焰
390	招式学习器０６３	8	6	精神强念	m/精神强念
391	招式学习器０６４	15	6	日光束	m/日光束
392	招式学习器０６５	16	6	尖石攻击	m/尖石攻击
393	招式学习器０６６	17	6	伏特替换	m/伏特替换
394	招式学习器０６７	17	6	十万伏特	m/十万伏特
395	招式学习器０６８	13	6	热风	m/热风
396	招式学习器０６９	18	6	地震	m/地震
397	招式学习器０７０	14	6	潮旋	m/潮旋
398	招式学习器０７１	9	6	巨声	m/巨声
399	招式学习器０７２	13	6	火焰旋涡	m/火焰旋涡
400	招式学习器０７３	14	6	冲浪	m/冲浪
401	招式学习器０７４	19	6	暗影球	m/暗影球
402	招式学习器０７５	7	6	龙之波动	m/龙之波动
403	招式学习器０７６	14	6	水流裂破	m/水流裂破
404	招式学习器０７７	10	6	毒击	m/毒击
405	招式学习器０７８	18	6	重踏	m/重踏
406	招式学习器０７９	2	7	暴风	m/暴风
407	招式学习器０８０	0	7	铁壁	m/铁壁
408	招式学习器０８１	1	7	十字剪	m/十字剪
409	招式学习器０８２	1	7	急速折返	m/急速折返
410	招式学习器０８３	6	6	诡计	m/诡计
411	招式学习器０８４	0	7	加农光炮	m/加农光炮
412	招式学习器０８５	9	6	替身	m/替身
413	招式学习器０８６	17	6	疯狂伏特	m/疯狂伏特
414	招式学习器０８７	0	7	铁尾	m/铁尾
415	招式学习器０８８	18	6	撒菱	m/撒菱
416	招式学习器０８９	10	6	毒菱	m/毒菱
417	招式学习器０９０	6	6	恶之波动	m/恶之波动
418	招式学习器０９１	19	6	咒术	m/咒术
419	招式学习器０９２	17	9	魔法闪耀	m/魔法闪耀
618	招式学习器０９３	7	6	逆鳞	m/逆鳞
619	招式学习器０９４	9	6	吹飞	m/吹飞
620	招式学习器０９５	6	6	挑衅	m/挑衅
690	招式学习器０９６	14	6	水炮	m/水炮
691	招式学习器０９７	8	6	回复封锁	m/回复封锁
692	招式学习器０９８	14	6	攀瀑	m/攀瀑
693	招式学习器０９９	9	6	挥指	m/挥指
694	招式学习器１００	10	6	垃圾射击	m/垃圾射击
2161	招式学习器１０１	17	6	电网	m/电网
2162	招式学习器１０２	12	6	真气弹	m/真气弹
2163	招式学习器１０３	9	6	自我激励	m/自我激励
2164	招式学习器１０４	13	6	闪焰冲锋	m/闪焰冲锋
2165	招式学习器１０５	11	6	暴风雪	m/暴风雪
2166	招式学习器１０６	17	6	打雷	m/打雷
2167	招式学习器１０７	12	6	近身战	m/近身战
116	水流卡带	14	14		
117	闪电卡带	15	14		
118	火焰卡带	16	14		
119	冰冻卡带	17	14		
252	升级数据	18	14		
258	粗骨头	19	14		
259	大葱	0	15		
324	可疑补丁	1	15		
534	朱红色宝珠	2	15		
535	靛蓝色宝珠	3	15		
537	美丽鳞片	4	15		
664	火焰鸡进化石	5	15		超级进化一览
684	拉帝亚斯进化石	6	15		超级进化一览
685	拉帝欧斯进化石	7	15		超级进化一览
752	巨沼怪进化石	8	15		超级进化一览
753	蜥蜴王进化石	9	15		超级进化一览
1278	洛托姆型录	10	15		
1691	黑奇石	11	15		
1861	咒术之铠	12	15		
1956	毛球的牙	13	15		
2344	庆祝之铠	14	15		
2567	席多蓝恩进化石	15	15		超级进化一览
2568	达克莱伊进化石	16	15		超级进化一览
2586	捷拉奥拉进化石	17	15		超级进化一览
2601	密阿雷黄油	18	15		
2602	超级黄油	19	15		
2603	高级黄油	0	16		
2604	究极黄油	1	16		
2605	大师黄油	2	16		
2606	异次元黄油	3	16		
2607	丰缘的粗盐	4	16		
2608	黑香料	5	16		
2609	奥利瓦油	6	16		
2610	噼里啪啦糖果	7	16		
2611	重要信件	8	16		
2635	雷丘进化石Ｘ	9	16		超级进化一览
2636	雷丘进化石Ｙ	10	16		超级进化一览
2637	风铃铃进化石	11	16		超级进化一览
2638	阿勃梭鲁进化石Ｚ	12	16		超级进化一览
2639	姆克鹰进化石	13	16		超级进化一览
2640	烈咬陆鲨进化石Ｚ	14	16		超级进化一览
2641	路卡利欧进化石Ｚ	15	16		超级进化一览
2642	泥偶巨人进化石	16	16		超级进化一览
2643	超能妙喵进化石	17	16		超级进化一览
2644	好胜毛蟹进化石	18	16		超级进化一览
2645	具甲武者进化石	19	16		超级进化一览
2646	玛机雅娜进化石	0	17		超级进化一览
2647	狠辣椒进化石	1	17		超级进化一览
2648	戟脊龙进化石	2	17		超级进化一览
2649	米立龙进化石	3	17		超级进化一览
2650	晶光花进化石	4	17		超级进化一览
2651	异次元樱子果	5	17		
2652	异次元零余果	6	17		
2653	异次元桃桃果	7	17		
2654	异次元莓莓果	8	17		
2655	异次元利木果	9	17		
2656	异次元橙橙果	10	17		
2657	异次元柿仔果	11	17		
2658	异次元木子果	12	17		
2659	异次元文柚果	13	17		
2660	异次元榴石果	14	17		
2661	异次元藻根果	15	17		
2662	异次元比巴果	16	17		
2663	异次元哈密果	17	17		
2664	异次元萄葡果	18	17		
2665	异次元茄番果	19	17		
2666	异次元巧可果	0	18		
2667	异次元千香果	1	18		
2668	异次元烛木果	2	18		
2669	异次元罗子果	3	18		
2670	异次元番荔果	4	18		
2671	异次元莲蒲果	5	18		
2672	异次元通通果	6	18		
2673	异次元腰木果	7	18		
2674	异次元棱瓜果	8	18		
2675	异次元福禄果	9	18		
2676	异次元扁樱果	10	18		
2677	异次元草蚕果	11	18		
2678	异次元佛柑果	12	18		
2679	异次元莓榴果	13	18		
2680	异次元刺耳果	14	18		
2681	异次元霹霹果	15	18		
2682	异次元灯浆果	16	18		
2683	异次元洛玫果	17	18		
2684	卡娜莉面包	18	18		
2168	招式学习器１０８			连续拳	m/连续拳
2169	招式学习器１０９			硬撑	m/硬撑
2170	招式学习器１１０			泼冷水	m/泼冷水
2171	招式学习器１１１			唱歌	m/唱歌
2172	招式学习器１１２			酸液炸弹	m/酸液炸弹
2173	招式学习器１１３			下盘踢	m/下盘踢
2174	招式学习器１１４			蓄能焰袭	m/蓄能焰袭
2175	招式学习器１１５			起草	m/起草
2176	招式学习器１１６			聚宝功	m/聚宝功
2177	招式学习器１１７			银色旋风	m/银色旋风
2178	招式学习器１１８			暗影拳	m/暗影拳
2179	招式学习器１１９			奇异之风	m/奇异之风
2180	招式学习器１２０			原始之力	m/原始之力
2181	招式学习器１２１			无理取闹	m/无理取闹
2182	招式学习器１２２			点到为止	m/点到为止
2183	招式学习器１２３			剧毒牙	m/剧毒牙
2184	招式学习器１２４			精神之牙	m/精神之牙
2185	招式学习器１２５			模仿	m/模仿
2186	招式学习器１２６			磁铁炸弹	m/磁铁炸弹
2187	招式学习器１２７			食梦	m/食梦
2188	招式学习器１２８			种子炸弹	m/种子炸弹
2189	招式学习器１２９			巴投	m/巴投
2190	招式学习器１３０			充电光束	m/充电光束
2191	招式学习器１３１			吸取拳	m/吸取拳
2192	招式学习器１３２			二连击	m/二连击
2193	招式学习器１３３			火焰踢	m/火焰踢
2194	招式学习器１３４			双翼	m/双翼
2195	招式学习器１３５			二连劈	m/二连劈
2196	招式学习器１３６			热沙大地	m/热沙大地
2197	招式学习器１３７			山岚摔	m/山岚摔
2198	招式学习器１３８			冰息	m/冰息
2199	招式学习器１３９			虚张声势	m/虚张声势
2200	招式学习器１４０			浊流	m/浊流
2201	招式学习器１４１			击掌奇袭	m/击掌奇袭
2202	招式学习器１４２			迎头一击	m/迎头一击
2203	招式学习器１４３			鳞射	m/鳞射
2204	招式学习器１４４			三旋击	m/三旋击
2205	招式学习器１４５			旋风刀	m/旋风刀
2206	招式学习器１４６			火箭头锤	m/火箭头锤
2207	招式学习器１４７			三重攻击	m/三重攻击
2208	招式学习器１４８			热水	m/热水
2209	招式学习器１４９			冰锥	m/冰锥
2210	招式学习器１５０			真空波	m/真空波
2211	招式学习器１５１			花瓣舞	m/花瓣舞
2212	招式学习器１５２			日光刃	m/日光刃
2213	招式学习器１５３			神鸟猛击	m/神鸟猛击
2214	招式学习器１５４			地裂	m/地裂
2215	招式学习器１５５			绝对零度	m/绝对零度
2216	招式学习器１５６			流星光束	m/流星光束
2217	招式学习器１５７			铁蹄光线	m/铁蹄光线
2218	招式学习器１５８			爆炸烈焰	m/爆炸烈焰
2219	招式学习器１５９			加农水炮	m/加农水炮
2220	招式学习器１６０			疯狂植物	m/疯狂植物
