编号	X	Z	Y	中文名	招式	茉蜜姬调查等级	主任务	副任务	地点
76	1564	76	2676	招式学习器０７６	水流裂破				１６号野生特区
77				招式学习器０７７	毒击	27			
78				招式学习器０７８	重踏	18			
79	3308	55	1127	招式学习器０７９	暴风				１９号野生特区
80	3420	25	3191	招式学习器０８０	铁壁				翡绿６号街区
81	1608	76	285	招式学习器０８１	十字剪				１３号野生特区
82				招式学习器０８２	急速折返	19			
83				招式学习器０８３	诡计	38			
84				招式学习器０８４	加农光炮	22			
85	3671	127	2750	招式学习器０８５	替身			29	
86	2851	-8	2135	招式学习器０８６	疯狂伏特				琼黄２号街区
87				招式学习器０８７	铁尾	30			
88	2484	127	3719	招式学习器０８８	撒菱			41	
89	2341	-11	791	招式学习器０８９	毒菱				榴红６号街区
90				招式学习器０９０	恶之波动				弗拉达利研究所
91				招式学习器０９１	咒术				蓉粉３号街区
92	1178	75	1764	招式学习器０９２	魔法闪耀				７号野生特区
93				招式学习器０９３	逆鳞	46			
94	1310	127	950	招式学习器０９４	吹飞			60	
95				招式学习器０９５	挑衅				下水道
96				招式学习器０９６	水炮	40			
97				招式学习器０９７	回复封锁	31			
98				招式学习器０９８	攀瀑				下水道
99	2936	127	943	招式学习器０９９	挥指			79	
100				招式学习器１００	垃圾射击		24		
101				招式学习器１０１	电网				浦蓝７号街区
102				招式学习器１０２	真气弹	44			
103	2410	-11	3729	招式学习器１０３	自我激励				１号野生特区
104				招式学习器１０４	闪焰冲锋		35		
105				招式学习器１０５	暴风雪	42			
106				招式学习器１０６	打雷	33			
107				招式学习器１０７	近身战	37			
108				招式学习器１０８	连续拳				超级碎片
109				招式学习器１０９	硬撑			138	
110				招式学习器１１０	泼冷水				超级碎片
111				招式学习器１１１	唱歌				超级碎片
112				招式学习器１１２	酸液炸弹				超级碎片
113				招式学习器１１３	下盘踢			172	
114				招式学习器１１４	蓄能焰袭			126	
115				招式学习器１１５	起草				超级碎片
116				招式学习器１１６	聚宝功			143	
117				招式学习器１１７	银色旋风				超级碎片
118				招式学习器１１８	暗影拳			171	
119				招式学习器１１９	奇异之风			148	
120				招式学习器１２０	原始之力				超级碎片
121				招式学习器１２１	无理取闹			145	
122				招式学习器１２２	点到为止			133	
123				招式学习器１２３	剧毒牙			156	
124				招式学习器１２４	精神之牙				超级碎片
125				招式学习器１２５	模仿			166	
126				招式学习器１２６	磁铁炸弹				超级碎片
127				招式学习器１２７	食梦			168	
128				招式学习器１２８	种子炸弹				超级碎片
129				招式学习器１２９	巴投			172	
130				招式学习器１３０	充电光束			173	
131				招式学习器１３１	吸取拳				超级碎片
132				招式学习器１３２	二连击				超级碎片
133				招式学习器１３３	火焰踢				超级碎片
134				招式学习器１３４	双翼				超级碎片
135				招式学习器１３５	二连劈				超级碎片
136				招式学习器１３６	热沙大地			146	
137				招式学习器１３７	山岚摔				超级碎片
138				招式学习器１３８	冰息				超级碎片
139				招式学习器１３９	虚张声势			134	
140				招式学习器１４０	浊流				超级碎片
141				招式学习器１４１	击掌奇袭			175	
142				招式学习器１４２	迎头一击				超级碎片
143				招式学习器１４３	鳞射				超级碎片
144				招式学习器１４４	三旋击			124	
145				招式学习器１４５	旋风刀				超级碎片
146				招式学习器１４６	火箭头锤			123	
147				招式学习器１４７	三重攻击			167	
148				招式学习器１４８	热水				超级碎片
149				招式学习器１４９	冰锥				超级碎片
150				招式学习器１５０	真空波				超级碎片
151				招式学习器１５１	花瓣舞				超级碎片
152				招式学习器１５２	日光刃				超级碎片
153				招式学习器１５３	神鸟猛击				超级碎片
154				招式学习器１５４	地裂				超级碎片
155				招式学习器１５５	绝对零度				超级碎片
156				招式学习器１５６	流星光束				超级碎片
157				招式学习器１５７	铁蹄光线				超级碎片
158				招式学习器１５８	爆炸烈焰			186	
159				招式学习器１５９	加农水炮			186	
160				招式学习器１６０	疯狂植物			186	
