编号	中文名	日文名	英文名	属性	分类	威力	发动时间	说明
63	破坏光线	はかいこうせん	Hyper Beam	一般	特殊	150	20	向对手发射强烈的光线进行攻击。在一小段时间内会因反作用力而无法动弹。
64	啄	つつく	Peck	飞行	物理	35	6	用尖锐的喙或角刺向对手进行攻击。
71	吸取	すいとる	Absorb	草	特殊	20	7	吸取养分进行攻击。可以回复相当于给予对手的部分伤害的ＨＰ。
73	寄生种子	やどりぎのタネ	Leech Seed	草	变化	—	12	植入寄生种子后，会一点一点吸取对手的ＨＰ，从而用来回复自己的ＨＰ。
74	生长	せいちょう	Growth	一般	变化	—	15	让身体一下子长大，从而在一小段时间内提高自己的攻击和特攻。
75	飞叶快刀	はっぱカッター	Razor Leaf	草	物理	55	6	飞出叶片，切斩对手进行攻击。容易击中要害。
76	日光束	ソーラービーム	Solar Beam	草	特殊	120	12	收集满满的日光，将其发射进行攻击。需要一定时间发动攻击。
77	毒粉	どくのこな	Poison Powder	毒	变化	—	10	撒出大量的毒粉，从而让对手陷入中毒状态。
78	麻痹粉	しびれごな	Stun Spore	草	变化	—	10	撒出大量的麻痹粉，从而让对手陷入麻痹状态。
79	催眠粉	ねむりごな	Sleep Powder	草	变化	—	10	撒出大量的催眠粉，从而让对手陷入瞌睡状态。
81	吐丝	いとをはく	String Shot	虫	变化	—	9	用口中吐出的丝缠绕对手，在一小段时间内使对手的动作变得迟缓。
83	火焰旋涡	ほのおのうず	Fire Spin	火	特殊	20	7	用激烈的火焰旋涡困住对手，并对旋涡里的对手持续造成伤害。
84	电击	でんきショック	Thunder Shock	电	特殊	40	6	发出电流刺激进行攻击。有时也会让对手陷入麻痹状态。
85	十万伏特	１０まんボルト	Thunderbolt	电	特殊	90	8	发出强力电击进行攻击。有时也会让对手陷入麻痹状态。
86	电磁波	でんじは	Thunder Wave	电	变化	—	10	发出微弱的电击进行攻击。从而让对手陷入麻痹状态。
87	打雷	かみなり	Thunder	电	特殊	110	10	劈下暴雷进行攻击。有时也会让对手陷入麻痹状态。
88	落石	いわおとし	Rock Throw	岩石	物理	50	6	拿起小岩石，向对手投掷进行攻击。
89	地震	じしん	Earthquake	地面	物理	100	10	利用地震的冲击，攻击周围所有的对象。
91	挖洞	あなをほる	Dig	地面	物理	80	12	潜入地下隐藏自身，片刻之后瞄准对手进行攻击。
92	剧毒	どくどく	Toxic	毒	变化	—	10	让对手陷入剧毒状态。随着时间的推进，中毒伤害会增加。
93	念力	ねんりき	Confusion	超能力	特殊	50	6	向对手发送微弱的念力进行攻击。有时也会使对手混乱。
94	精神强念	サイコキネシス	Psychic	超能力	特殊	90	8	向对手发送强大的念力进行攻击。有时也会降低对手的特防。
95	催眠术	さいみんじゅつ	Hypnosis	超能力	变化	—	10	施以诱导睡意的暗示，让对手陷入瞌睡状态。
97	高速移动	こうそくいどう	Agility	超能力	变化	—	12	让身体放松变得轻盈，以便高速移动。在一小段时间内让自己的动作变得更快。
98	电光一闪	でんこうせっか	Quick Attack	一般	物理	30	3	以迅雷不及掩耳之势扑向对手。
100	瞬间移动	テレポート	Teleport	超能力	变化	—	7	瞬间移动到训练家的身边。
103	刺耳声	いやなおと	Screech	一般	变化	—	10	发出不由自主想要捂起耳朵的刺耳声，从而在一段时间内降低对手的防御。
104	影子分身	かげぶんしん	Double Team	一般	变化	—	15	通过快速移动来制造分身，从而闪避对手的攻击。
105	自我再生	じこさいせい	Recover	一般	变化	—	15	让细胞再生，回复自己的ＨＰ。
106	变硬	かたくなる	Harden	一般	变化	—	6	全身使劲，让身体变硬，从而在一小段时间内提高自己的防御。
108	烟幕	えんまく	Smokescreen	一般	变化	—	10	向上喷出烟或墨汁等覆盖四周，在烟雾中不会被野生宝可梦发现。
109	奇异之光	あやしいひかり	Confuse Ray	幽灵	变化	—	6	显示奇怪的光，扰乱对手。使对手混乱。
113	光墙	ひかりのかべ	Light Screen	超能力	变化	—	12	利用神奇的墙壁，在一段时间内减弱来自对手的特殊攻击的伤害。替换后效果也会持续。
114	黑雾	くろいきり	Haze	冰	变化	—	15	用黑雾覆盖四周。将碰到雾的全部宝可梦的能力变化复原。
115	反射壁	リフレクター	Reflect	超能力	变化	—	12	利用神奇的墙壁，在一段时间内减弱来自对手的物理攻击的伤害。替换后效果也会持续。
116	聚气	きあいだめ	Focus Energy	一般	变化	—	10	深深地吸口气，集中精神。在一段时间内自己的攻击会变得容易击中要害。
118	挥指	ゆびをふる	Metronome	一般	变化	—	4	挥动手指刺激自己的大脑，从许多的招式中随机使出１个。
120	玉石俱碎	じばく	Self-Destruct	一般	物理	200	15	引发爆炸，攻击周围所有的对象。使用后自己会陷入昏厥。
122	舌舔	したでなめる	Lick	幽灵	物理	30	6	用长长的舌头舔来舔去进行攻击。有时也会让对手陷入麻痹状态。
126	大字爆炎	だいもんじ	Fire Blast	火	特殊	110	10	用大字形状的火焰烧尽一切。有时也会让对手陷入灼伤状态。
127	攀瀑	たきのぼり	Waterfall	水	物理	80	8	以惊人的气势扑向对手。有时也会使对手畏缩。
129	高速星星	スピードスター	Swift	一般	特殊	60	5	发射星形的光攻击对手。
133	瞬间失忆	ドわすれ	Amnesia	超能力	变化	—	9	将头脑清空，瞬间忘记某事，从而在一段时间内提高自己的特防。
137	大蛇瞪眼	へびにらみ	Glare	一般	变化	—	8	用恐怖的眼神盯着对手使其害怕。从而让对手陷入麻痹状态。
141	汲取	きゅうけつ	Leech Life	虫	物理	80	9	吸取血液进行攻击。可以回复相当于给予对手的部分伤害的ＨＰ。
150	跃起	はねる	Splash	一般	变化	—	4	也不攻击只是一蹦一蹦地跳，什么都不会发生……
151	溶化	とける	Acid Armor	毒	变化	—	9	通过细胞的变化进行液化，从而在一段时间内提高自己的防御。
153	大爆炸	だいばくはつ	Explosion	一般	物理	250	15	引发大爆炸，攻击周围所有的对象。使用后自己会陷入昏厥。
157	岩崩	いわなだれ	Rock Slide	岩石	物理	75	7	将大岩石猛烈地撞向对手进行攻击。有时会使对手畏缩。
162	愤怒门牙	いかりのまえば	Super Fang	一般	物理	—	9	用锋利的门牙猛烈地咬紧进行攻击。伤害会根据对手的ＨＰ而改变。
163	劈开	きりさく	Slash	一般	物理	70	7	用爪子或镰刀等劈开对手进行攻击。容易击中要害。
164	替身	みがわり	Substitute	一般	变化	—	10	削减少许自己的ＨＰ，制造分身。
172	火焰轮	かえんぐるま	Flame Wheel	火	物理	60	6	让火焰覆盖全身进行猛撞攻击。有时也会让对手陷入灼伤状态。
174	咒术	のろい	Curse	幽灵	变化	—	15	在一小段时间内自己的动作会变得迟缓，同时会提高攻击和防御。幽灵属性使用时效果会不同。
182	守住	まもる	Protect	一般	变化	—	15	巩固防守，完全抵挡对手的攻击。
183	音速拳	マッハパンチ	Mach Punch	格斗	物理	30	3	以迅雷不及掩耳之势出拳。
188	污泥炸弹	ヘドロばくだん	Sludge Bomb	毒	特殊	90	7	投掷污泥进行攻击。有时也会让对手陷入中毒状态。
191	撒菱	まきびし	Spikes	地面	变化	—	7	将撒菱扔到自己的前方。对踩到撒菱的对手造成伤害。
192	电磁炮	でんじほう	Zap Cannon	电	特殊	120	15	发射大炮一样的电流进行攻击。必定会使对手陷入麻痹状态。
195	终焉之歌	ほろびのうた	Perish Song	一般	变化	—	20	倾听歌声的宝可梦经过一段时间后会陷入昏厥。替换后效果消失。
196	冰冻之风	こごえるかぜ	Icy Wind	冰	特殊	55	7	将结冰的冷气吹向对手进行攻击。会在一小段时间内使对手的动作变得迟缓。
197	看穿	みきり	Detect	格斗	变化	—	13	巩固防守，完全抵挡对手的攻击。
200	逆鳞	げきりん	Outrage	龙	物理	120	15	勃然大怒进行攻击。招式结束后自己会陷入混乱。
202	终极吸取	ギガドレイン	Giga Drain	草	特殊	75	9	吸取养分进行攻击。可以回复相当于给予对手的部分伤害的ＨＰ。
203	挺住	こらえる	Endure	一般	变化	—	12	做出挺住攻击的架势。挺住的时候一定会留下１ＨＰ。
204	撒娇	あまえる	Charm	妖精	变化	—	10	可爱地凝视诱使对手疏忽大意，从而在一段时间内降低对手的攻击。
205	滚动	ころがる	Rollout	岩石	物理	60	6	朝着对手像岩石般滚动身体进行攻击。
209	电光	スパーク	Spark	电	物理	65	6	让电流覆盖全身进行猛撞攻击。有时也会让对手陷入麻痹状态。
211	钢翼	はがねのつばさ	Steel Wing	钢	物理	70	7	用坚硬的翅膀敲打进行攻击。有时也会提高自己的防御。
219	神秘守护	しんぴのまもり	Safeguard	一般	变化	—	12	被神奇的力量守护，从而在一段时间内不会陷入异常状态。替换后效果也会持续。
223	爆裂拳	ばくれつパンチ	Dynamic Punch	格斗	物理	100	12	使出浑身力气出拳进行攻击。必定会使对手混乱。
224	超级角击	メガホーン	Megahorn	虫	物理	120	10	用坚硬且华丽的角狠狠地刺入对手进行攻击。
225	龙息	りゅうのいぶき	Dragon Breath	龙	特殊	60	6	吹出强烈的气息进行攻击。有时也会让对手陷入麻痹状态。
231	铁尾	アイアンテール	Iron Tail	钢	物理	100	10	使用坚硬的尾巴摔打对手进行攻击。有时也会降低对手的防御。
232	金属爪	メタルクロー	Metal Claw	钢	物理	50	6	用钢铁之爪劈开对手进行攻击。有时会提高自己的攻击。
234	晨光	あさのひざし	Morning Sun	一般	变化	—	15	沐浴舒服的阳光，回复自己的ＨＰ。
235	光合作用	こうごうせい	Synthesis	草	变化	—	15	通过光合作用制造营养，回复自己的ＨＰ。
236	月光	つきのひかり	Moonlight	妖精	变化	—	15	沐浴宁静的月光，回复自己的ＨＰ。
239	龙卷风	たつまき	Twister	龙	特殊	40	6	兴起龙卷风，将对手卷入进行攻击。有时也会使对手畏缩。
242	咬碎	かみくだく	Crunch	恶	物理	80	8	用利牙咬碎对手进行攻击。有时也会降低对手的防御。
245	神速	しんそく	Extreme Speed	一般	物理	65	3	以迅雷不及掩耳之势猛撞向对手进行攻击。
247	暗影球	シャドーボール	Shadow Ball	幽灵	特殊	80	8	投掷团状的黑影进行攻击。有时也会降低对手的特防。
248	预知未来	みらいよち	Future Sight	超能力	特殊	120	10	在使用招式的一段时间后，向对手所在的地方发送团状的念力进行攻击。
249	碎岩	いわくだき	Rock Smash	格斗	物理	40	6	用拳头进行攻击。有时也会降低对手的防御。
250	潮旋	うずしお	Whirlpool	水	特殊	20	7	用激烈的水流旋涡包围对手，并对其中的对手持续造成伤害。
257	热风	ねっぷう	Heat Wave	火	特殊	95	9	吹出炎热的气息进行攻击。有时也会让对手陷入灼伤状态。
261	磷火	おにび	Will-O-Wisp	火	变化	—	10	放出怪异的火焰，从而让对手陷入灼伤状态。
268	充电	じゅうでん	Charge	电	变化	—	10	变为充电状态，提高下次使出的电属性的招式威力。在一小段时间内自己的特防也会提高。
269	挑衅	ちょうはつ	Taunt	恶	变化	—	12	使对手愤怒。在一小段时间内让对手只能使出给予伤害的招式。
273	祈愿	ねがいごと	Wish	一般	变化	—	12	在使用招式的一段时间后会回复自己或是替换出场的宝可梦的ＨＰ。
280	劈瓦	かわらわり	Brick Break	格斗	物理	75	7	将手刀猛烈地挥下进行攻击。可以破坏光墙和反射壁。
282	拍落	はたきおとす	Knock Off	恶	物理	65	10	拍落对手的持有物，直到战斗结束都不能使用。对手携带道具时会增加伤害。
297	羽毛舞	フェザーダンス	Feather Dance	飞行	变化	—	10	撒出羽毛，缠到对手的身体上。在一段时间内降低对手的攻击。
304	巨声	ハイパーボイス	Hyper Voice	一般	特殊	90	8	给予对手又吵又响的巨大震动进行攻击。
313	假哭	うそなき	Fake Tears	恶	变化	—	10	装哭流泪。使对手不知所措，从而在一段时间内降低对手的特防。
315	过热	オーバーヒート	Overheat	火	特殊	130	10	使出全部力量攻击对手。使用之后因为反作用力，在一段时间内自己的特攻会降低。
317	岩石封锁	がんせきふうじ	Rock Tomb	岩石	物理	60	10	投掷岩石进行攻击。击中时会使对手的动作变得迟缓，没有击中的岩石会留在原地。
319	金属音	きんぞくおん	Metal Sound	钢	变化	—	10	让对手听摩擦金属般讨厌的声音。在一段时间内降低对手的特防。
328	流沙深渊	すなじごく	Sand Tomb	地面	物理	20	7	用铺天盖地的沙暴包围对手，并对其中的对手持续造成伤害。
331	种子机关枪	タネマシンガン	Bullet Seed	草	物理	15	6	猛烈地连续发射５次种子进行攻击。
332	燕返	つばめがえし	Aerial Ace	飞行	物理	60	9	以敏捷的动作戏弄对手后进行切斩。
334	铁壁	てっぺき	Iron Defense	钢	变化	—	9	将皮肤变得坚硬如铁，从而在一段时间内提高自己的防御。
337	龙爪	ドラゴンクロー	Dragon Claw	龙	物理	80	8	用尖锐的巨爪劈开对手进行攻击。
339	健美	ビルドアップ	Bulk Up	格斗	变化	—	18	使出全身力气绷紧肌肉，从而在一小段时间内提高自己的攻击和防御。
340	弹跳	とびはねる	Bounce	飞行	物理	85	12	弹跳到高高的空中隐藏踪影，片刻之后瞄准对手进行攻击。有时也会让对手陷入麻痹状态。
341	泥巴射击	マッドショット	Mud Shot	地面	特殊	55	6	投掷泥块进行攻击。会在一小段时间内使对手的动作变得迟缓。
344	伏特攻击	ボルテッカー	Volt Tackle	电	物理	120	9	让电流覆盖全身进行猛撞攻击。自己也会受到伤害。有时也会让对手陷入麻痹状态。
345	魔法叶	マジカルリーフ	Magical Leaf	草	特殊	60	6	散落可以追踪对手的神奇叶片。
347	冥想	めいそう	Calm Mind	超能力	变化	—	18	静心凝神，从而在一小段时间内提高自己的特攻和特防。
348	叶刃	リーフブレード	Leaf Blade	草	物理	90	8	像用剑一般操纵叶片切斩对手进行攻击。容易击中要害。
350	岩石爆击	ロックブラスト	Rock Blast	岩石	物理	15	6	连续发射５次坚硬的岩石进行攻击。
352	水之波动	みずのはどう	Water Pulse	水	特殊	60	6	用水的震动攻击对手。有时也会使对手混乱。
369	急速折返	とんぼがえり	U-turn	虫	物理	70	12	在攻击之后急速回到训练家的身边。
370	近身战	インファイト	Close Combat	格斗	物理	120	12	放弃守护，向对手的怀里突击。在一小段时间内自己的防御和特防会降低。
377	回复封锁	かいふくふうじ	Heal Block	超能力	变化	—	12	在一段时间内，对手无法通过招式或道具来回复ＨＰ。
390	毒菱	どくびし	Toxic Spikes	毒	变化	—	7	将毒菱扔到自己的前方。使踩到毒菱的对手陷入中毒状态。
392	水流环	アクアリング	Aqua Ring	水	变化	—	10	在自己身体的周围覆盖用水制造的幕。会持续地缓缓回复ＨＰ。
394	闪焰冲锋	フレアドライブ	Flare Blitz	火	物理	120	8	让火焰覆盖全身进行猛撞攻击。自己也会受到伤害。有时也会让对手陷入灼伤状态。
396	波导弹	はどうだん	Aura Sphere	格斗	特殊	80	8	从体内产生出波导之力，然后向对手发出。
398	毒击	どくづき	Poison Jab	毒	物理	80	8	用带毒的触手或手臂进行突刺。有时也会让对手陷入中毒状态。
399	恶之波动	あくのはどう	Dark Pulse	恶	特殊	80	8	从体内发出充满恶意的恐怖气场。有时会使对手畏缩。
400	暗袭要害	つじぎり	Night Slash	恶	物理	70	7	抓住瞬间的空隙切斩对手。容易击中要害。
403	空气之刃	エアスラッシュ	Air Slash	飞行	特殊	75	7	用连天空也能劈开的空气之刃进行攻击。有时也会使对手畏缩。
404	十字剪	シザークロス	X-Scissor	虫	物理	80	8	将镰刀或爪子像剪刀般地交叉，顺势劈开对手。
405	虫鸣	むしのさざめき	Bug Buzz	虫	特殊	90	8	利用振动发出音波进行攻击。有时也会降低对手的特防。
406	龙之波动	りゅうのはどう	Dragon Pulse	龙	特殊	85	8	从大大的口中掀起冲击波攻击对手。
407	龙之俯冲	ドラゴンダイブ	Dragon Rush	龙	物理	100	12	释放出骇人的杀气，一边威慑一边撞击对手。有时也会使对手畏缩。
408	力量宝石	パワージェム	Power Gem	岩石	特殊	80	8	发射如宝石般闪耀的光芒攻击对手。
411	真气弹	きあいだま	Focus Blast	格斗	特殊	120	12	提高气势，释放出全部力量。有时也会降低对手的特防。
412	能量球	エナジーボール	Energy Ball	草	特殊	90	8	发射从自然收集的生命力量。有时也会降低对手的特防。
413	勇鸟猛攻	ブレイブバード	Brave Bird	飞行	物理	120	10	收拢翅膀，通过低空飞行突击对手。自己也会受到伤害。
414	大地之力	だいちのちから	Earth Power	地面	特殊	90	8	向对手脚下释放出大地之力。有时也会降低对手的特防。
416	终极冲击	ギガインパクト	Giga Impact	一般	物理	150	20	使出自己浑身力量突击对手。会在一小段时间内因反作用力而无法动弹。
417	诡计	わるだくみ	Nasty Plot	恶	变化	—	15	谋划诡计，激活头脑。在一段时间内提高自己的特攻。
418	子弹拳	バレットパンチ	Bullet Punch	钢	物理	30	3	向对手使出如子弹般快速而坚硬的拳头。
420	冰砾	こおりのつぶて	Ice Shard	冰	物理	40	3	瞬间制作冰块，快速地扔向对手。
421	暗影爪	シャドークロー	Shadow Claw	幽灵	物理	70	7	以影子做成的锐爪，劈开对手。容易击中要害。
422	雷电牙	かみなりのキバ	Thunder Fang	电	物理	65	6	用蓄满电流的牙齿咬紧，有时也会使对手畏缩或陷入麻痹状态。
423	冰冻牙	こおりのキバ	Ice Fang	冰	物理	65	6	用藏有冷气的牙齿咬住对手，有时也会使对手畏缩或陷入冰冻状态。
424	火焰牙	ほのおのキバ	Fire Fang	火	物理	65	6	用覆盖着火焰的牙齿咬住对手，有时也会使对手畏缩或陷入灼伤状态。
425	影子偷袭	かげうち	Shadow Sneak	幽灵	物理	40	3	伸长影子，从对手的背后进行攻击。
427	精神利刃	サイコカッター	Psycho Cut	超能力	物理	70	7	用实体化的心之利刃劈开对手。容易击中要害。
428	意念头锤	しねんのずつき	Zen Headbutt	超能力	物理	80	8	将思念的力量集中在前额进行攻击。有时也会使对手畏缩。
430	加农光炮	ラスターカノン	Flash Cannon	钢	特殊	80	8	将身体的光芒聚集在一点释放出去。有时也会降低对手的特防。
434	流星群	りゅうせいぐん	Draco Meteor	龙	特殊	130	10	从天空中向对手落下陨石。使用之后因为反作用力，在一段时间内自己的特攻会降低。
435	放电	ほうでん	Discharge	电	特殊	80	8	用耀眼的电击攻击周围所有的对象。有时也会让对手陷入麻痹状态。
436	喷烟	ふんえん	Lava Plume	火	特殊	80	8	用熊熊烈火攻击周围所有的对象。有时也会让对手陷入灼伤状态。
437	飞叶风暴	リーフストーム	Leaf Storm	草	特殊	130	10	用尖尖的叶片向对手卷起风暴。使用之后因为反作用力，在一段时间内自己的特攻会降低。
438	强力鞭打	パワーウィップ	Power Whip	草	物理	120	12	激烈地挥舞青藤或触手摔打对手进行攻击。
441	垃圾射击	ダストシュート	Gunk Shot	毒	物理	120	10	将肮脏的垃圾砸向对手进行攻击。有时也会让对手陷入中毒状态。
442	铁头	アイアンヘッド	Iron Head	钢	物理	80	8	用钢铁般坚硬的头部进行攻击。有时也会使对手畏缩。
444	尖石攻击	ストーンエッジ	Stone Edge	岩石	物理	100	10	用尖尖的岩石刺入对手进行攻击。容易击中要害。
446	隐形岩	ステルスロック	Stealth Rock	岩石	变化	—	10	将无数岩石悬浮在自己的前方，给予碰到的对手伤害。
452	木槌	ウッドハンマー	Wood Hammer	草	物理	120	10	用坚硬的躯体撞击对手进行攻击。自己也会受到伤害。
453	水流喷射	アクアジェット	Aqua Jet	水	物理	30	3	以迅雷不及掩耳之势扑向对手。
457	双刃头锤	もろはのずつき	Head Smash	岩石	物理	150	10	拼命使出浑身力气，向对手进行头锤攻击。自己也会受到伤害。
473	精神冲击	サイコショック	Psyshock	超能力	特殊	80	8	将神奇的念波实体化进行攻击。给予对手物理伤害。
482	污泥波	ヘドロウェーブ	Sludge Wave	毒	特殊	95	8	用污泥波攻击周围所有的对象。有时也会让对手陷入中毒状态。
484	重磅冲撞	ヘビーボンバー	Heavy Slam	钢	物理	—	10	用沉重的身体撞向对手进行攻击。自己比对手越重，威力越大。
521	伏特替换	ボルトチェンジ	Volt Switch	电	特殊	70	12	在攻击之后急速回到训练家的身边。
523	重踏	じならし	Bulldoze	地面	物理	60	6	用力踩踏地面并攻击对手。会在一小段时间内使对手的动作变得迟缓。
526	自我激励	ふるいたてる	Work Up	一般	变化	—	15	激励自己，从而在一小段时间内提高攻击和特攻。
527	电网	エレキネット	Electroweb	电	特殊	55	7	用电网捉住对手进行攻击。会在一小段时间内使对手的动作变得迟缓。
528	疯狂伏特	ワイルドボルト	Wild Charge	电	物理	90	8	让电流覆盖全身，撞向对手。自己也会受到伤害。
529	直冲钻	ドリルライナー	Drill Run	地面	物理	80	8	像钢钻一样，一边旋转身体一边进行撞击。容易击中要害。
532	木角	ウッドホーン	Horn Leech	草	物理	75	9	将角刺入，吸取养分。可以回复相当于给予对手的部分伤害的ＨＰ。
535	高温重压	ヒートスタンプ	Heat Crash	火	物理	—	10	用燃烧的身体撞向对手进行攻击。自己比对手越重，威力越大。
538	棉花防守	コットンガード	Cotton Guard	草	变化	—	10	用软绵绵的绒毛包裹住自己的身体进行守护。在很长时间内自己的防御会提高。
540	精神击破	サイコブレイク	Psystrike	超能力	特殊	100	9	将神奇的念波实体化进行攻击。给予对手物理伤害。
542	暴风	ぼうふう	Hurricane	飞行	特殊	110	10	用强烈的风席卷对手进行攻击。有时也会使对手混乱。
555	大声咆哮	バークアウト	Snarl	恶	特殊	55	9	没完没了地大声斥责，从而在一小段时间内降低对手的特攻。
556	冰柱坠击	つららおとし	Icicle Crash	冰	物理	85	8	用大冰柱激烈地进行撞击。有时会使对手畏缩。
560	飞身重压	フライングプレス	Flying Press	格斗	物理	100	9	从空中俯冲向对手。此招式同时带有格斗属性和飞行属性。
564	黏黏网	ねばねばネット	Sticky Web	虫	变化	—	7	在对手脚下围上黏黏的网，使踩到的对手动作变得迟缓。
566	潜灵奇袭	ゴーストダイブ	Phantom Force	幽灵	物理	90	12	藏身于黑暗中，片刻之后瞄准对手进行攻击。还可以无视守住和看穿等招式。
567	万圣夜	ハロウィン	Trick-or-Treat	幽灵	变化	—	10	邀请对手参加万圣夜。使对手被追加幽灵属性。
570	抛物面充电	パラボラチャージ	Parabolic Charge	电	特殊	65	9	释放电击进行攻击。可以回复相当于给予对手的部分伤害的ＨＰ。
571	森林咒术	もりののろい	Forest’s Curse	草	变化	—	10	向对手施加森林咒术。使对手被追加草属性。
573	冷冻干燥	フリーズドライ	Freeze-Dry	冰	特殊	70	9	急剧冷冻对手进行攻击。对于水属性宝可梦也是效果绝佳。有时也会让对手陷入冰冻状态。
574	魅惑之声	チャームボイス	Disarming Voice	妖精	特殊	40	6	发出魅惑的叫声，给予对手精神上的伤害。
575	抛下狠话	すてゼリフ	Parting Shot	恶	变化	—	12	抛下狠话威吓对手，在一小段时间内降低对手的攻击和特攻，自己会回到训练家的身边。
576	颠倒	ひっくりかえす	Topsy-Turvy	恶	变化	—	10	颠倒对手身上的所有能力变化，变成和原来相反的状态。
577	吸取之吻	ドレインキッス	Draining Kiss	妖精	特殊	50	7	用吻吸取对手的ＨＰ来回复自己的ＨＰ。
583	嬉闹	じゃれつく	Play Rough	妖精	物理	90	8	嬉闹的同时进行攻击。有时也会降低对手的攻击。
584	妖精之风	ようせいのかぜ	Fairy Wind	妖精	特殊	40	6	刮起妖精之风，吹向对手进行攻击。
585	月亮之力	ムーンフォース	Moonblast	妖精	特殊	95	8	借用月亮的力量攻击对手。有时也会降低对手的特攻。
586	爆音波	ばくおんぱ	Boomburst	一般	特殊	140	12	通过震耳欲聋的爆炸声产生的破坏力，攻击周围所有的对象。
588	王者盾牌	キングシールド	King’s Shield	钢	变化	—	15	防住对手攻击的同时，自己变为防御姿态。能够降低所接触到的对手的攻击。
591	钻石风暴	ダイヤストーム	Diamond Storm	岩石	物理	100	10	掀起钻石风暴进行攻击。有时也会提高自己的防御。
592	蒸汽爆炸	スチームバースト	Steam Eruption	水	特殊	110	10	将滚烫的蒸汽喷向对手。有时也会让对手灼伤。
593	异次元洞	いじげんホール	Hyperspace Hole	超能力	特殊	80	8	通过异次元洞，突然出现在对手的面前进行攻击。还可以无视守住和看穿等招式。
